split,condition_id,method,condition_pearson,condition_rmse
development_oof,AHR,scgpt,0.7224583786132166,0.04446910671822099
development_oof,AHR+KLF1,scgpt,0.8896319810070633,0.03878690461449219
development_oof,ARID1A,scgpt,0.1002149753020367,0.09442311973075537
development_oof,ARRDC3,scgpt,0.3668755325977574,0.031098073517720468
development_oof,ATL1,scgpt,0.2432147473543477,0.08419986284758962
development_oof,BAK1,scgpt,0.47067476859958557,0.038366765718587874
development_oof,BAK1+KLF1,scgpt,0.9328893776921954,0.029491467637662395
development_oof,BAK1+TMSB4X,scgpt,0.7678346785880653,0.03259263157045952
development_oof,BCL2L11+TGFBR2,scgpt,0.6701376410862481,0.0436512705358921
development_oof,BCORL1,scgpt,0.2779657921769778,0.07089969321637289
development_oof,BPGM,scgpt,0.9352452940869412,0.0332309278489443
development_oof,BPGM+SAMD1,scgpt,0.9486655027516591,0.03898227303400759
development_oof,BPGM+ZBTB1,scgpt,0.9670452164052866,0.03656633058108134
development_oof,CBFA2T3+FEV,scgpt,0.8826644521646794,0.08564632052948341
development_oof,CBFA2T3+POU3F2,scgpt,0.8812010550764586,0.04854000626825398
development_oof,CBFA2T3+PRDM1,scgpt,0.7980983119939035,0.08756918633095394
development_oof,CBL,scgpt,0.9285519174330633,0.05882476013510108
development_oof,CBL+PTPN12,scgpt,0.9719912622739337,0.03352953849698256
development_oof,CBL+PTPN9,scgpt,0.9679916811489525,0.024977742534029457
development_oof,CBL+TGFBR2,scgpt,0.9463114119770597,0.02828853616239049
development_oof,CBL+UBASH3B,scgpt,0.9745749353368968,0.055229068940215814
development_oof,CDKN1A,scgpt,0.9261979581603271,0.03139571963384814
development_oof,CDKN1A+CDKN1B,scgpt,0.9406040234306865,0.03266757398711223
development_oof,CDKN1A+CDKN1C,scgpt,0.9395762764296411,0.037881122751750713
development_oof,CDKN1B+CDKN1C,scgpt,0.9295444555682096,0.03244690732674493
development_oof,CDKN1C,scgpt,0.9093406359293664,0.03147453955758149
development_oof,CEBPA,scgpt,0.9838948125413997,0.07788775620518508
development_oof,CEBPA+CEBPB,scgpt,0.9651829984629777,0.06164389374636818
development_oof,CEBPA+JUN,scgpt,0.9576868652711917,0.09099351536667077
development_oof,CEBPA+KLF1,scgpt,0.9445721198555326,0.06169780953929267
development_oof,CEBPA+ZC3HAV1,scgpt,0.9670317125182347,0.08366917927076183
development_oof,CEBPB,scgpt,0.9460941118914309,0.0546823876730314
development_oof,CEBPB+FOSB,scgpt,0.9463569874620134,0.09348089300234717
development_oof,CEBPB+JUN,scgpt,0.9230426413660049,0.06559775458911644
development_oof,CEBPB+LYL1,scgpt,0.7516469407737956,0.06775077080724452
development_oof,CEBPB+MAPK1,scgpt,0.9124707648664563,0.04723307047348948
development_oof,CEBPB+OSR2,scgpt,0.9564625054513222,0.04086701884449798
development_oof,CEBPB+PTPN12,scgpt,0.8742817409343165,0.036418967902970945
development_oof,CEBPE,scgpt,0.9631360632646269,0.03736755581717063
development_oof,CEBPE+ETS2,scgpt,0.9502892363667421,0.0424446298145121
development_oof,CEBPE+FOSB,scgpt,0.9516954830122664,0.0736349911249064
development_oof,CEBPE+PTPN12,scgpt,0.8841528710058131,0.03351744163011895
development_oof,CEBPE+RUNX1T1,scgpt,0.9498931174714166,0.02297713976020695
development_oof,CEBPE+SET,scgpt,0.5104849533689473,0.08102774238805265
development_oof,CEBPE+ZC3HAV1,scgpt,0.7473829389023966,0.0678478548122058
development_oof,CELF2,scgpt,0.24409356147571265,0.050682401549536515
development_oof,CITED1,scgpt,0.657415274128059,0.049785863612974705
development_oof,CKS1B,scgpt,0.353043600823526,0.07478863864477614
development_oof,CLDN6,scgpt,0.35985531690095,0.08889476142588007
development_oof,CNN1,scgpt,0.8814712502004317,0.03492047395987535
development_oof,CNN1+ETS2,scgpt,0.8739686225514153,0.02678134957405598
development_oof,CNN1+MAPK1,scgpt,0.873533264192721,0.03114086859329886
development_oof,CNN1+UBASH3A,scgpt,0.8664089123137811,0.09847772761352969
development_oof,CNNM4,scgpt,0.062439112162516616,0.0638883965761028
development_oof,COL1A1,scgpt,0.3563253807047598,0.08779622211876605
development_oof,COL2A1,scgpt,0.7986897368393416,0.05656587957688751
development_oof,COL2A1+KLF1,scgpt,0.8096214615541524,0.0565006023578301
development_oof,DLX2,scgpt,0.7513032746953282,0.10117496214482152
development_oof,DLX2+SNAI1,scgpt,0.9364579715470875,0.058390389649525316
development_oof,DLX2+ZBTB10,scgpt,0.8736995252955779,0.10539936138064354
development_oof,DUSP9,scgpt,0.9497214304638445,0.04714884728351357
development_oof,DUSP9+IGDCC3,scgpt,0.9682970901653501,0.03679152934840392
development_oof,DUSP9+KLF1,scgpt,0.9332018643084448,0.06284064014660395
development_oof,DUSP9+MAPK1,scgpt,0.8028171248064678,0.04208871787474554
development_oof,DUSP9+SNAI1,scgpt,0.8814064959786884,0.08339681731652154
development_oof,EGR1,scgpt,0.39868675896671507,0.07483687914557124
development_oof,ETS2,scgpt,0.9589121586917089,0.02939952745915796
development_oof,ETS2+IGDCC3,scgpt,0.8959280828879915,0.026703263860269902
development_oof,ETS2+MAP7D1,scgpt,0.8836430427322366,0.05214581927314967
development_oof,ETS2+MAPK1,scgpt,0.9601929083037063,0.05560562892384095
development_oof,ETS2+PRTG,scgpt,0.8212334178857319,0.0392491407225079
development_oof,ETS2+TGFBR2,scgpt,0.6442753186743648,0.038388816531163904
development_oof,FEV,scgpt,0.8898062037548052,0.07487853002668793
development_oof,FEV+MAP7D1,scgpt,0.9037141684926268,0.05383726734674957
development_oof,FOSB,scgpt,0.8980243872993461,0.0595909699147227
development_oof,FOSB+IKZF3,scgpt,0.900305488092608,0.0454375623426056
development_oof,FOSB+OSR2,scgpt,0.9497220875265641,0.05515939088163107
development_oof,FOSB+UBASH3B,scgpt,0.7187621964226947,0.0460888960227162
development_oof,FOXA1,scgpt,0.8524634388112663,0.06181761554583387
development_oof,FOXA1+FOXA3,scgpt,0.9196528365024205,0.0402427253594956
development_oof,FOXA1+FOXF1,scgpt,0.9601883216644275,0.022923763647138242
development_oof,FOXA1+HOXB9,scgpt,0.9681784479492791,0.03855738067501243
development_oof,FOXA1+KLF1,scgpt,0.9113593869642589,0.03616929242735512
development_oof,FOXA3,scgpt,0.8185616425178286,0.08844125493180897
development_oof,FOXA3+FOXL2,scgpt,0.9363046886975365,0.04834597127262688
development_oof,FOXA3+HOXB9,scgpt,0.962808137136442,0.042611380434567796
development_oof,FOXF1,scgpt,0.8348819180542737,0.057830859024356654
development_oof,FOXF1+FOXL2,scgpt,0.946386923317165,0.04441174398780856
development_oof,FOXF1+HOXB9,scgpt,0.958036895427438,0.03472947362699043
development_oof,FOXL2+HOXB9,scgpt,0.9354990219499874,0.045676279594259885
development_oof,FOXL2+MEIS1,scgpt,0.9122624134631245,0.033908371080931005
development_oof,FOXL2+POU3F2,scgpt,0.944296954102223,0.03738504031512015
development_oof,FOXL2+ZNF318,scgpt,0.8775671384507493,0.039842983406271786
development_oof,GLB1L2,scgpt,0.4369690707458765,0.05393998132351543
development_oof,HES7,scgpt,0.6890430563323479,0.09269952434988488
development_oof,HK2,scgpt,0.2337091329951055,0.044031819823601215
development_oof,HOXA13,scgpt,0.8184251808401328,0.07187950297548522
development_oof,HOXB9,scgpt,0.915735682097176,0.05270067542365394
development_oof,HOXC13,scgpt,0.8584661986880164,0.041137727985483
development_oof,HOXC13+ZC3HAV1,scgpt,0.7969365556078997,0.03856973174707573
development_oof,IER5L,scgpt,0.676756074770211,0.06557013464763074
development_oof,IGDCC3,scgpt,0.9473036927142202,0.03201545790726257
development_oof,IGDCC3+MAPK1,scgpt,0.8304897599175742,0.03543284652617414
development_oof,IGDCC3+PRTG,scgpt,0.9473610019867243,0.03020054385949384
development_oof,IGDCC3+TGFBR2,scgpt,0.960038375902705,0.024344225740846534
development_oof,IKZF3,scgpt,0.9636926729005951,0.06180318001072307
development_oof,IKZF3+MAP2K3,scgpt,0.9543224423187117,0.051319400193135536
development_oof,IKZF3+MAP2K6,scgpt,0.9611113728593833,0.04729851336224691
development_oof,IKZF3+MAPK1,scgpt,0.9466113908396085,0.03896193077722961
development_oof,IRF1+SET,scgpt,0.1778974417444937,0.12765356428100938
development_oof,ISL2,scgpt,0.4396227766262338,0.04106151888226174
development_oof,JUN,scgpt,0.6955732921167188,0.07805052923531944
development_oof,KIF18B,scgpt,0.6695577124261125,0.03257718514709253
development_oof,KIF18B+KIF2C,scgpt,0.5823326136499554,0.0388494995630658
development_oof,KLF1,scgpt,0.9402226135126268,0.03098065425267369
development_oof,KLF1+MAP2K6,scgpt,0.9008718760323279,0.032454215361409
development_oof,KLF1+TGFBR2,scgpt,0.9212676658159903,0.0316056021371865
development_oof,KMT2A,scgpt,0.47835829211967346,0.04458476149789023
development_oof,LHX1,scgpt,0.44179782065041595,0.06238212153330146
development_oof,LYL1,scgpt,0.13193501681078232,0.07443789436854024
development_oof,MAP2K3,scgpt,0.8191620015115104,0.027485358740874797
development_oof,MAP2K3+MAP2K6,scgpt,0.8100813310661849,0.0215992651317386
development_oof,MAP2K3+SLC38A2,scgpt,0.04196900453465487,0.05137978232839442
development_oof,MAP2K6,scgpt,0.7157881475096867,0.021751552180489516
development_oof,MAP2K6+SPI1,scgpt,0.802482618477425,0.0363272025949788
development_oof,MAP4K5,scgpt,0.6865881491031729,0.03970710938987428
development_oof,MAP7D1,scgpt,0.6104336452642904,0.054670062041668695
development_oof,MAPK1,scgpt,0.9489789158673381,0.032526266078653894
development_oof,MAPK1+TGFBR2,scgpt,0.7530303099829156,0.04808735599422793
development_oof,MEIS1,scgpt,0.5171796180166706,0.033535510688822795
development_oof,MIDN,scgpt,0.6499754547815039,0.05973955686878776
development_oof,NCL,scgpt,0.15012701196136935,0.062093998171931786
development_oof,OSR2,scgpt,0.9152931269906884,0.05323629729837589
development_oof,OSR2+PTPN12,scgpt,0.7614890909102828,0.031006283097200577
development_oof,OSR2+UBASH3B,scgpt,0.6217805611388192,0.039330533951073325
development_oof,PLK4,scgpt,0.5583593165982679,0.06326455139643807
development_oof,PLK4+STIL,scgpt,0.7535906312510855,0.05286519112359374
development_oof,POU3F2,scgpt,0.7496092247283402,0.038284376643064666
development_oof,PRTG,scgpt,0.9554833473488213,0.030827944089983465
development_oof,PRTG+TGFBR2,scgpt,0.9578089913201266,0.030976810459737988
development_oof,PTPN1,scgpt,0.7314322514716342,0.05743394357190982
development_oof,PTPN12+PTPN9,scgpt,0.9696711842747257,0.024128144625617527
development_oof,PTPN12+SAMD1,scgpt,0.9688961974892826,0.0351648540235468
development_oof,PTPN12+SNAI1,scgpt,0.8474496695470669,0.034889474229788324
development_oof,PTPN12+UBASH3B,scgpt,0.9482220631989761,0.04734478532534189
development_oof,PTPN12+ZBTB10,scgpt,0.8714837912959973,0.04610453073766501
development_oof,PTPN12+ZBTB25,scgpt,0.9741616781709509,0.03776333598494402
development_oof,PTPN13,scgpt,0.33110822533951983,0.06479294090616572
