gene	xatlas_token	state_effect_disease_minus_desired	disease_expression_fraction	desired_expression_fraction	signature_direction	selection_rule
TAF1D	21630	0.23792680725455284	0.3210120159272702	0.2603906720592032	disease_up	top_128_per_signed_direction
CSMD1	15601	0.23322355886921292	0.2424680221290391	0.16057137939936322	disease_up	top_128_per_signed_direction
HMGB1	24353	0.23009783650437993	0.23302441946509744	0.16779967300576543	disease_up	top_128_per_signed_direction
NCL	6080	0.2249068790115416	0.16681348884738714	0.08699767661991223	disease_up	top_128_per_signed_direction
GRM8	15037	0.22230501589365306	0.1962014165403996	0.07865071852680493	disease_up	top_128_per_signed_direction
ATRX	37839	0.22197870972255862	0.41971175869480953	0.39247913260476724	disease_up	top_128_per_signed_direction
ZNF69	33076	0.22022261936217546	0.2363367278621516	0.17296273986748129	disease_up	top_128_per_signed_direction
BACE2	36074	0.21941644512116903	0.23883857782162868	0.14095172532484296	disease_up	top_128_per_signed_direction
MLEC	23941	0.21796922261516255	0.2945135487508369	0.1855262025643232	disease_up	top_128_per_signed_direction
GTF2IRD1	14515	0.21610014994318286	0.1830931322456746	0.09715170811462008	disease_up	top_128_per_signed_direction
SRRM1	579	0.21556830188880372	0.24518129602875366	0.22192582393942	disease_up	top_128_per_signed_direction
UBA52	33358	0.21536837948951873	0.2157581310123683	0.10369159280612684	disease_up	top_128_per_signed_direction
EIF5B	4811	0.2151395349452893	0.24299658197963284	0.19886412529042252	disease_up	top_128_per_signed_direction
HSPD1	5677	0.21274118591099975	0.18658162725959337	0.11367352207211083	disease_up	top_128_per_signed_direction
DNAH14	3223	0.20244834230591852	0.2329539448183516	0.1516220635057224	disease_up	top_128_per_signed_direction
XACT	38032	0.19860451575368643	0.5347616195073822	0.4504775836847087	disease_up	top_128_per_signed_direction
AGBL4	1101	0.19303650467190892	0.12431727685964974	0.07589708286722313	disease_up	top_128_per_signed_direction
DDX46	11069	0.19205902703106403	0.21258677190880582	0.18948455382497204	disease_up	top_128_per_signed_direction
CENPF	3125	0.18954265948074556	0.09848831882730189	0.04182084157989846	disease_up	top_128_per_signed_direction
GCC2	4930	0.18931000369290507	0.3731280171958138	0.3559074090009466	disease_up	top_128_per_signed_direction
ILF3	33028	0.187091459830602	0.19211388702914126	0.15058945013337924	disease_up	top_128_per_signed_direction
BAZ1B	14492	0.1817430009444555	0.22717502378519328	0.213234661388865	disease_up	top_128_per_signed_direction
MKI67	19927	0.18114622423308901	0.082807709926354	0.03562516134583943	disease_up	top_128_per_signed_direction
LGR5	23380	0.18039311670387786	0.11392226646463935	0.02177093193356854	disease_up	top_128_per_signed_direction
GALNT6	22963	0.18017678426501033	0.12431727685964974	0.04018587040702177	disease_up	top_128_per_signed_direction
FGGY	1246	0.17806532513350248	0.28041861940167023	0.2271749419154978	disease_up	top_128_per_signed_direction
CDHR1	19386	0.17774632759392256	0.17911131470453504	0.14232854315463386	disease_up	top_128_per_signed_direction
SNTB1	16790	0.17728565811800462	0.16237358610239966	0.08097409861457706	disease_up	top_128_per_signed_direction
SAMD5	13436	0.17274512866667163	0.1936643292575496	0.09870062817313484	disease_up	top_128_per_signed_direction
MPHOSPH8	24211	0.17175784707069397	0.25279255787730365	0.22872386197401257	disease_up	top_128_per_signed_direction
NOP56	34747	0.16953318876524764	0.09922830261813313	0.0527493331038637	disease_up	top_128_per_signed_direction
PPIG	5420	0.16604613699018955	0.2658303675252828	0.25729283194217367	disease_up	top_128_per_signed_direction
DSP	11907	0.15907175590594602	0.264456111913739	0.29145512434386023	disease_up	top_128_per_signed_direction
HSP90B1	23671	0.15895176958292723	0.17639804080482047	0.15127785904827468	disease_up	top_128_per_signed_direction
TCF25	29672	0.15859928789238142	0.28950984883188274	0.2868944152826779	disease_up	top_128_per_signed_direction
ZNRF3	36693	0.15838446887210011	0.20099369251911625	0.12150417347904656	disease_up	top_128_per_signed_direction
CLCA1	1472	0.1575970770403122	0.15134430388667677	0.07710179846829017	disease_up	top_128_per_signed_direction
GPCPD1	34816	0.1575273393342892	0.2478240952817224	0.16977884863608983	disease_up	top_128_per_signed_direction
FUT8	25788	0.15744539924586815	0.2692836252158286	0.21030892350055932	disease_up	top_128_per_signed_direction
EIF3A	19818	0.15412428230047226	0.24419465097431198	0.2410291713277687	disease_up	top_128_per_signed_direction
HNRNPDL	9039	0.15201281725118554	0.1809084181965538	0.15127785904827468	disease_up	top_128_per_signed_direction
MACC1	13956	0.14847207302227616	0.1836569294196413	0.10937096635401429	disease_up	top_128_per_signed_direction
LCN2	18229	0.14783973527179722	0.12371824236231016	0.03287152568625764	disease_up	top_128_per_signed_direction
SMARCC1	6762	0.1467478914807241	0.27915007576024525	0.2455038292745891	disease_up	top_128_per_signed_direction
MYRIP	6631	0.14636937249451876	0.17872370414743297	0.11943894673436022	disease_up	top_128_per_signed_direction
TFF3	36101	0.141000343253836	0.15941365093907467	0.11203855089923415	disease_up	top_128_per_signed_direction
OSBPL3	14001	0.14049331999073425	0.13365516755347265	0.07890887186989072	disease_up	top_128_per_signed_direction
KCNH8	6487	0.1399954973021522	0.12107544310934142	0.051888821960244386	disease_up	top_128_per_signed_direction
SHROOM4	37640	0.13940237741917375	0.13287994643926848	0.06823853368901127	disease_up	top_128_per_signed_direction
TTC3	36017	0.13881619212528074	0.3853906057295888	0.36752430943980724	disease_up	top_128_per_signed_direction
BPTF	31363	0.1371435448527336	0.4518834349342824	0.4396351432751054	disease_up	top_128_per_signed_direction
TPR	2778	0.13672355934977531	0.2499735720074703	0.23672661560967215	disease_up	top_128_per_signed_direction
HNMT	5225	0.13650983897969127	0.19081010606434334	0.15506410808019963	disease_up	top_128_per_signed_direction
CYP3A5	14738	0.13576126160720992	0.36579865393424715	0.370363996213751	disease_up	top_128_per_signed_direction
TBX3	23839	0.1354964219111328	0.0887628175763769	0.029257378883056535	disease_up	top_128_per_signed_direction
ENGASE	31609	0.13405616620245078	0.1255153458543289	0.06617330694432492	disease_up	top_128_per_signed_direction
NKTR	6658	0.13359512202441703	0.3655167553472638	0.38447637896910763	disease_up	top_128_per_signed_direction
EEF1D	17029	0.13339909616236884	0.14197117586948096	0.09861457705877291	disease_up	top_128_per_signed_direction
PLCG2	29467	0.13327216100879016	0.15025194686211635	0.10739179072368987	disease_up	top_128_per_signed_direction
ZMIZ2	14264	0.13272532153253755	0.12375347968568308	0.08777213664916961	disease_up	top_128_per_signed_direction
PNN	25521	0.1321223760023713	0.20543359526410374	0.18414938473453232	disease_up	top_128_per_signed_direction
CDC37	33017	0.1317302992877861	0.13714366256739138	0.10945701746837622	disease_up	top_128_per_signed_direction
TBXAS1	15189	0.12899350002408028	0.10208252581133936	0.04715601067033818	disease_up	top_128_per_signed_direction
SRSF3	12524	0.1276460367565354	0.16195073822192466	0.13544445400567937	disease_up	top_128_per_signed_direction
APOLD1	22513	0.1262352029637744	0.09965115049860812	0.03312967902934343	disease_up	top_128_per_signed_direction
CHD7	16275	0.12616607174277306	0.2962401775961098	0.29618793563376644	disease_up	top_128_per_signed_direction
CLUH	29767	0.12605314639707407	0.13545227104549137	0.09870062817313484	disease_up	top_128_per_signed_direction
UHRF2	17189	0.1258922374496857	0.22710454913844744	0.19017296273986747	disease_up	top_128_per_signed_direction
DDX24	26148	0.12517739009733003	0.15638324112900384	0.14611479218655882	disease_up	top_128_per_signed_direction
ABCC1	28394	0.12457621516659856	0.15744036083019133	0.12374150245245676	disease_up	top_128_per_signed_direction
AKAP9	14652	0.12355563417077065	0.5214419112724198	0.5351518802168488	disease_up	top_128_per_signed_direction
CHD3	29968	0.122343845355014	0.10106064343352479	0.06625935805868687	disease_up	top_128_per_signed_direction
DYNC1H1	26292	0.12202732699612773	0.22858451672010993	0.22803545305911713	disease_up	top_128_per_signed_direction
LUC7L	27951	0.12194404192268854	0.2170266746537933	0.1966267963170123	disease_up	top_128_per_signed_direction
NOP58	5743	0.12174827015648285	0.1490891151908101	0.10687548403751829	disease_up	top_128_per_signed_direction
TOP2A	30700	0.12071491459695002	0.06811374607984777	0.027536356595817917	disease_up	top_128_per_signed_direction
SOX9	31414	0.1177423062423865	0.09845308150392897	0.03700197917563033	disease_up	top_128_per_signed_direction
LINC01811	6569	0.11641531690838745	0.08291342189647274	0.0086051114361931	disease_up	top_128_per_signed_direction
RIF1	5297	0.1152967053155104	0.21050776982980374	0.2029945787797952	disease_up	top_128_per_signed_direction
SIGIRR	20030	0.11494927511860925	0.12114591775608725	0.09930298597366836	disease_up	top_128_per_signed_direction
BRD9	9918	0.1147078781699141	0.12928573945523097	0.09405386799759057	disease_up	top_128_per_signed_direction
BRD2	12430	0.11452388406420747	0.13361993023009971	0.11823423113329318	disease_up	top_128_per_signed_direction
PABPC1	16647	0.1144218469659487	0.3089256140103598	0.2669305567507099	disease_up	top_128_per_signed_direction
KNOP1	28450	0.11398270602027574	0.11371084252440185	0.08174855864383444	disease_up	top_128_per_signed_direction
PDE3A	22587	-1.4027923785615712	0.15680608900947884	0.5899664400653989	disease_down	top_128_per_signed_direction
SLC26A2	11370	-1.0520533520029858	0.27471017301525774	0.6756733499698822	disease_down	top_128_per_signed_direction
FKBP5	12502	-1.0193824220138292	0.15222523697099968	0.5315377334136477	disease_down	top_128_per_signed_direction
PCSK5	17666	-0.9880844523819785	0.17016103456781423	0.5201789863178728	disease_down	top_128_per_signed_direction
PRKG1	19088	-0.9425958559537927	0.2915888509108848	0.5787797951983478	disease_down	top_128_per_signed_direction
MBNL1	7780	-0.8892888103922207	0.3851439444659784	0.6488254022889597	disease_down	top_128_per_signed_direction
LPP	8134	-0.8698731350402038	0.5198209943972656	0.7163755270630755	disease_down	top_128_per_signed_direction
NR3C2	9534	-0.8672322016209366	0.45984707001656155	0.6879786593236382	disease_down	top_128_per_signed_direction
SLC4A4	8925	-0.8603514411176244	0.19095105535783502	0.5165648395146717	disease_down	top_128_per_signed_direction
NEDD4L	32338	-0.7281114999204873	0.32330244194650976	0.5471129851131572	disease_down	top_128_per_signed_direction
SATB2	5691	-0.7269481321175894	0.34987138376968885	0.5592461922381895	disease_down	top_128_per_signed_direction
CLCA4	1473	-0.7208578213734048	0.05070650833362698	0.42612511832028227	disease_down	top_128_per_signed_direction
EXT1	16768	-0.6829491797834635	0.3529722682265055	0.5692281215041735	disease_down	top_128_per_signed_direction
PDE4D	10419	-0.6598558512826762	0.4274287325134783	0.6036485672489459	disease_down	top_128_per_signed_direction
ZBTB20	7324	-0.6596367219462991	0.4198879453116741	0.5852336287754927	disease_down	top_128_per_signed_direction
ZFAND3	12550	-0.656680017709732	0.34314105500546177	0.5529644608897685	disease_down	top_128_per_signed_direction
PDE8A	27675	-0.6526593205829462	0.25836005497022446	0.46794595990018073	disease_down	top_128_per_signed_direction
NEAT1	21155	-0.648343534519275	0.5384967757849114	0.7134497891747699	disease_down	top_128_per_signed_direction
FGD4	22739	-0.6403775780151288	0.3493428239190951	0.5526202564323208	disease_down	top_128_per_signed_direction
SHROOM3	8995	-0.6393424812704324	0.3030409810070827	0.5209534463471301	disease_down	top_128_per_signed_direction
MAML2	21665	-0.6387584479525684	0.31509214560062015	0.5072713191635831	disease_down	top_128_per_signed_direction
CAMK2D	9289	-0.6199771240353585	0.2822509602170619	0.49918251441356165	disease_down	top_128_per_signed_direction
FRYL	8751	-0.6193830718596776	0.5836710243489904	0.7254969451854402	disease_down	top_128_per_signed_direction
GNAQ	17677	-0.6119971697529157	0.303322879594066	0.5055502968763446	disease_down	top_128_per_signed_direction
ATP1A1	1830	-0.6116581630582609	0.19479192360548292	0.430169520695293	disease_down	top_128_per_signed_direction
SCNN1B	28528	-0.6098158229433466	0.056978751894006134	0.31675415196626794	disease_down	top_128_per_signed_direction
MAGI3	1791	-0.6057776150604091	0.42411642411642414	0.6101884519404527	disease_down	top_128_per_signed_direction
ADAMTSL1	17252	-0.5980609247926623	0.34965995982945136	0.5107133637380604	disease_down	top_128_per_signed_direction
EIF4G3	500	-0.5959908446917932	0.39705415976602415	0.5844591687462353	disease_down	top_128_per_signed_direction
MYO1D	30479	-0.5921739464004836	0.4999471440149406	0.6590654848980294	disease_down	top_128_per_signed_direction
NEO1	27411	-0.5885195777130624	0.2250960217061912	0.42646932277773	disease_down	top_128_per_signed_direction
TCF7L2	19754	-0.5854950000842414	0.42996581979632825	0.6041648739351174	disease_down	top_128_per_signed_direction
C1orf21	2759	-0.5839522013751168	0.14094929349166638	0.38309956113931676	disease_down	top_128_per_signed_direction
LARGE1	36810	-0.5829313456391294	0.22396842735825787	0.4254367094053868	disease_down	top_128_per_signed_direction
FOXP1	7069	-0.5724550578743219	0.49677578491137814	0.6391016263660615	disease_down	top_128_per_signed_direction
MAGI1	7039	-0.5693097822368145	0.4454350047570387	0.6000344204457447	disease_down	top_128_per_signed_direction
PDE9A	36113	-0.5685858389673134	0.13129426688748722	0.3638241115222442	disease_down	top_128_per_signed_direction
STXBP5	13435	-0.5666110850870609	0.3218929490115931	0.5189742707168058	disease_down	top_128_per_signed_direction
PDCD4	19735	-0.5592589903778087	0.18207124986786002	0.39299543929093883	disease_down	top_128_per_signed_direction
SSH2	30396	-0.5578846279531716	0.37214137214137216	0.5329145512434386	disease_down	top_128_per_signed_direction
PIP5K1B	17610	-0.557018820506831	0.3019838613058952	0.46742965321400914	disease_down	top_128_per_signed_direction
PARD3B	5766	-0.5555260647088288	0.3435991402093097	0.5147577661130711	disease_down	top_128_per_signed_direction
NR5A2	2860	-0.5476741477226217	0.13605130554283096	0.360382066947767	disease_down	top_128_per_signed_direction
BTBD9	12551	-0.5460716259355346	0.2673103351069453	0.4562430083469581	disease_down	top_128_per_signed_direction
ZBTB16	21833	-0.5446475417217395	0.025159448888262447	0.2546252473969538	disease_down	top_128_per_signed_direction
HHLA2	7250	-0.5443527629831806	0.13365516755347265	0.34222528181739953	disease_down	top_128_per_signed_direction
UGP2	4297	-0.5404962431639433	0.11571936995665809	0.37199896738662763	disease_down	top_128_per_signed_direction
CDC42SE2	11002	-0.5399975161999464	0.2590648014376828	0.47775578693744086	disease_down	top_128_per_signed_direction
LRRFIP2	6584	-0.5396818503116568	0.20670213890552874	0.41949918251441354	disease_down	top_128_per_signed_direction
MED13L	23855	-0.537714209407568	0.36319109200465133	0.5428964805094226	disease_down	top_128_per_signed_direction
DLG1	8261	-0.534044421898822	0.30526093237957647	0.4920402719215214	disease_down	top_128_per_signed_direction
MCTP2	27814	-0.526590043057998	0.24021283343317243	0.4205317958867567	disease_down	top_128_per_signed_direction
ARL15	10358	-0.5255527378370365	0.34666478734275347	0.5052921435332588	disease_down	top_128_per_signed_direction
FOXP2	14950	-0.5255161107246143	0.14757391028577468	0.33086653472162464	disease_down	top_128_per_signed_direction
THRB	6509	-0.5247755957146486	0.12329539448183516	0.2924016866018415	disease_down	top_128_per_signed_direction
PTPRK	13252	-0.5237700535605352	0.46009373128017195	0.5933224335255142	disease_down	top_128_per_signed_direction
DENND1B	2843	-0.5227896290210385	0.21219916135170372	0.41975733585749936	disease_down	top_128_per_signed_direction
PHGR1	26857	-0.5225986251413512	0.1821769618379788	0.48128388262628	disease_down	top_128_per_signed_direction
PLCE1	19512	-0.5139767938138295	0.25582296768737445	0.4494449703123655	disease_down	top_128_per_signed_direction
IQCM	9542	-0.51105335901957	0.1085309559885831	0.325445314516823	disease_down	top_128_per_signed_direction
MAST2	1046	-0.5052049367999037	0.19606046724690793	0.3912744170037002	disease_down	top_128_per_signed_direction
PAG1	16455	-0.5032905077096075	0.1014834913139998	0.31357026073487654	disease_down	top_128_per_signed_direction
EPS8	22558	-0.5030130281423529	0.3040628633848973	0.4716461578177437	disease_down	top_128_per_signed_direction
PARD3	18903	-0.5028841011226177	0.3796469220198034	0.5508992341450821	disease_down	top_128_per_signed_direction
ZSWIM6	10433	-0.49942541494965553	0.45621762570915114	0.6261939592117718	disease_down	top_128_per_signed_direction
FOXO1	24440	-0.4958250432585677	0.1422883117798372	0.35108854659667843	disease_down	top_128_per_signed_direction
NXPE1	21841	-0.48849165554080787	0.3858839282568096	0.5396265381636692	disease_down	top_128_per_signed_direction
EXOC6B	4424	-0.48689760733395804	0.24447654956129533	0.43447207641338953	disease_down	top_128_per_signed_direction
ZZEF1	29809	-0.48588311920563376	0.22033898305084745	0.4256088116341107	disease_down	top_128_per_signed_direction
AHCYL2	15079	-0.484428722721835	0.21262200923217872	0.4019447551845796	disease_down	top_128_per_signed_direction
SH3RF1	9692	-0.481932056757311	0.25198209943972655	0.4306858273814646	disease_down	top_128_per_signed_direction
MS4A12	20941	-0.4806104448119489	0.050530321716762396	0.2751914637294553	disease_down	top_128_per_signed_direction
KDM4C	17195	-0.47944832158585393	0.282638570774164	0.45891059289217795	disease_down	top_128_per_signed_direction
PDLIM5	9134	-0.479143894277513	0.24130519045773283	0.4420445744772395	disease_down	top_128_per_signed_direction
THSD4	27380	-0.4785875314846636	0.25282779520067655	0.40530074864469495	disease_down	top_128_per_signed_direction
PLPP1	10380	-0.47756783710792655	0.12121639240283308	0.3307804836072627	disease_down	top_128_per_signed_direction
RBM47	8684	-0.4764977712184191	0.31801684344057224	0.5015919456156958	disease_down	top_128_per_signed_direction
ANK3	19128	-0.47627526304374135	0.2694245745093203	0.4357628431288185	disease_down	top_128_per_signed_direction
USP53	9316	-0.4723523687571286	0.22650551464110785	0.4238017382325101	disease_down	top_128_per_signed_direction
GRAMD2B	10967	-0.47220450088692206	0.14366256739138095	0.33611565269770244	disease_down	top_128_per_signed_direction
PLS1	7670	-0.47166887360314524	0.22999400965502662	0.4274158850357112	disease_down	top_128_per_signed_direction
EFNA5	10822	-0.47132436074510525	0.11469748757884352	0.3073745805008175	disease_down	top_128_per_signed_direction
SLC2A13	22768	-0.4626393572737773	0.17016103456781423	0.38249720333878323	disease_down	top_128_per_signed_direction
EXOC4	15129	-0.4616685391714176	0.33204129814299305	0.47896050253850786	disease_down	top_128_per_signed_direction
AKAP13	27679	-0.4611096791923046	0.44490644490644493	0.6154375699165304	disease_down	top_128_per_signed_direction
HNF4G	16416	-0.45952293199176586	0.20250889742415165	0.38998365028827126	disease_down	top_128_per_signed_direction
FBXL17	10824	-0.4585270875444014	0.28979174741886604	0.44109801221925826	disease_down	top_128_per_signed_direction
SLC26A3	14913	-0.45812255454560136	0.5468480214242926	0.6906462438688581	disease_down	top_128_per_signed_direction
MYO1E	27189	-0.4579326262076695	0.4117833609359033	0.5805008174855865	disease_down	top_128_per_signed_direction
ETNK1	22614	-0.45713883545249706	0.18182458860424963	0.4107219688494966	disease_down	top_128_per_signed_direction
SEMA6A	10898	-0.45459126339604455	0.16318404453997673	0.35108854659667843	disease_down	top_128_per_signed_direction
RAPGEF5	13970	-0.4496567250850301	0.2618485499841432	0.42862060063677826	disease_down	top_128_per_signed_direction
PPARG	6405	-0.44947145817180467	0.34116776489657846	0.4904053007486447	disease_down	top_128_per_signed_direction
LGALS3	25660	-0.4483167538419366	0.22502554705944536	0.43094398072455037	disease_down	top_128_per_signed_direction
TCF12	27154	-0.4480753056704997	0.38003453257690545	0.5132088460545564	disease_down	top_128_per_signed_direction
PPP1R12B	2907	-0.44757582293823356	0.19845660523626626	0.3577144824025471	disease_down	top_128_per_signed_direction
ERBIN	10460	-0.44576729461550724	0.23616054124528701	0.42242492040271923	disease_down	top_128_per_signed_direction
TOX	16263	-0.4455274489397804	0.14253497304344762	0.32621977454608037	disease_down	top_128_per_signed_direction
CPM	23350	-0.4420869939494878	0.07072130800944361	0.270544703553911	disease_down	top_128_per_signed_direction
TXNIP	1945	-0.44141272657240427	0.1787941787941788	0.39006970140263314	disease_down	top_128_per_signed_direction
VTI1A	19749	-0.4413244280343255	0.22770358363578702	0.40616125978831424	disease_down	top_128_per_signed_direction
TBC1D22A	37132	-0.4400676557173332	0.2891927129215265	0.46751570432837103	disease_down	top_128_per_signed_direction
CEACAM1	33942	-0.43870324843252695	0.15113287994643926	0.3587470957748903	disease_down	top_128_per_signed_direction
CNTN4	6295	-0.4378577969231021	0.0647662003594207	0.2597022631443077	disease_down	top_128_per_signed_direction
ARID1B	13528	-0.4375181710347532	0.3494837732125868	0.4842956716289476	disease_down	top_128_per_signed_direction
SIK3	21869	-0.436548818834126	0.22055040699108497	0.4026331640994751	disease_down	top_128_per_signed_direction
KIF13B	15967	-0.43569311313331116	0.2472250607843828	0.42999741846656914	disease_down	top_128_per_signed_direction
MOB3B	17329	-0.43448105400117737	0.1595193629091934	0.34317184407538076	disease_down	top_128_per_signed_direction
MCU	19248	-0.43192054269214475	0.26579513020190987	0.4484984080543843	disease_down	top_128_per_signed_direction
SIPA1L3	33754	-0.4287329514821371	0.34310581768208886	0.507443421392307	disease_down	top_128_per_signed_direction
MXI1	19725	-0.4266248482357089	0.07082701997956235	0.26366061440495653	disease_down	top_128_per_signed_direction
NCOA2	16360	-0.42623390102138126	0.2580781563832411	0.42311332931761464	disease_down	top_128_per_signed_direction
EPB41L3	31855	-0.4251692681282293	0.04792275978716656	0.24679459599001807	disease_down	top_128_per_signed_direction
MICAL2	20386	-0.4248416656628251	0.16459353747489341	0.35694002237328976	disease_down	top_128_per_signed_direction
CLIC5	12693	-0.4243262582458556	0.11522604742943726	0.3169262541949918	disease_down	top_128_per_signed_direction
ETV6	22498	-0.41986848507076513	0.3164664012121639	0.47190431116082954	disease_down	top_128_per_signed_direction
DOCK1	19916	-0.41966576750079776	0.37834314105500544	0.5311935289562	disease_down	top_128_per_signed_direction
PLAC8	9052	-0.41963683773064986	0.09397794143556855	0.2962739867481284	disease_down	top_128_per_signed_direction
TMPRSS2	36081	-0.4191607438648741	0.20973254871559957	0.4108080199638585	disease_down	top_128_per_signed_direction
KAZN	354	-0.4181694118306041	0.36009020754783466	0.47973496256776527	disease_down	top_128_per_signed_direction
AFF1	9076	-0.41730560952176654	0.2787977025265161	0.45194045262886157	disease_down	top_128_per_signed_direction
PLEKHA7	20431	-0.41601851458350814	0.25307445646428695	0.421478358144738	disease_down	top_128_per_signed_direction
FOXN3	26078	-0.41543801563481497	0.3004686564008598	0.4356767920144566	disease_down	top_128_per_signed_direction
TMEM131	4792	-0.41496763906131195	0.2618837873075161	0.4323207985543413	disease_down	top_128_per_signed_direction
IQGAP2	10583	-0.4148362685615818	0.1789703654110434	0.3682127183547027	disease_down	top_128_per_signed_direction
PICALM	21572	-0.41332275824000436	0.17703231262553296	0.3531537733413648	disease_down	top_128_per_signed_direction
DENND1A	18146	-0.4123737926905354	0.2369709996828641	0.395232768264349	disease_down	top_128_per_signed_direction
PAPSS2	19429	-0.41088308114558453	0.1465167905845872	0.345409173048791	disease_down	top_128_per_signed_direction
