gene	xatlas_token	state_effect_disease_minus_desired	disease_expression_fraction	desired_expression_fraction	signature_direction	selection_rule
GPX2	25780	0.6356829698973645	0.446139751224497	0.16452973066001206	disease_up	top_128_per_signed_direction
SLC12A2	10987	0.6286097864309946	0.5397653194263363	0.28198950176404786	disease_up	top_128_per_signed_direction
PVT1	16873	0.622011766768992	0.32897565100954934	0.124688064710438	disease_up	top_128_per_signed_direction
RNF43	31209	0.6127368571857611	0.4962824623841573	0.258067291971431	disease_up	top_128_per_signed_direction
TIMM23B	19073	0.568955441315969	0.482892279502449	0.3851647878840031	disease_up	top_128_per_signed_direction
COL19A1	12837	0.48462374438531686	0.3390887628175764	0.2547973496256776	disease_up	top_128_per_signed_direction
RASGEF1B	9034	0.4748592749238014	0.6449487296944924	0.5302469666982187	disease_up	top_128_per_signed_direction
DHFR	10631	0.4528261154579619	0.4001198068994679	0.2860339041390586	disease_up	top_128_per_signed_direction
NOX1	37895	0.44631395737330115	0.35388843863420133	0.17890026675845452	disease_up	top_128_per_signed_direction
PLCB4	34840	0.43297355979060137	0.46537932978610946	0.32114275879872645	disease_up	top_128_per_signed_direction
ARGLU1	24914	0.41840377636253834	0.3722823214348638	0.3421392307030376	disease_up	top_128_per_signed_direction
PTMA	6087	0.40665028244256973	0.40420733641072626	0.2881851819981069	disease_up	top_128_per_signed_direction
INO80D	5771	0.4031792481740317	0.5888509108848092	0.49737544101196113	disease_up	top_128_per_signed_direction
CEMIP	27584	0.3892872344780092	0.19186722576553086	0.026933998795284398	disease_up	top_128_per_signed_direction
OLFM4	24605	0.3821907539968379	0.2655132316149265	0.0852766543326736	disease_up	top_128_per_signed_direction
SOX4	12040	0.37440936608860886	0.2242503259452412	0.0794251785560623	disease_up	top_128_per_signed_direction
EPB41L2	13267	0.3522897707298398	0.31375312731244936	0.23061698648997506	disease_up	top_128_per_signed_direction
RBM25	25881	0.3449907650550207	0.38405158744141793	0.35057223991050684	disease_up	top_128_per_signed_direction
ITGA6	5455	0.3417108915746212	0.4963529370309031	0.41648739351174596	disease_up	top_128_per_signed_direction
FERMT1	34826	0.33476450294256205	0.29444307410409104	0.17563032441270116	disease_up	top_128_per_signed_direction
SLC27A6	10989	0.3336569401920618	0.2597343105817682	0.16246450391532571	disease_up	top_128_per_signed_direction
MET	14968	0.3259723518664638	0.22435603791535996	0.13432578951897428	disease_up	top_128_per_signed_direction
NKD1	28929	0.3245171743134657	0.16787060854857466	0.022373289734102058	disease_up	top_128_per_signed_direction
PRPF38B	1667	0.3192437471201023	0.2836604531519786	0.23552190000860512	disease_up	top_128_per_signed_direction
PNISR	13030	0.3138345579306283	0.5066422354557948	0.4909216074348163	disease_up	top_128_per_signed_direction
PRRC2C	2606	0.311936708788077	0.4215440995102012	0.41123827553566816	disease_up	top_128_per_signed_direction
DACH1	24674	0.3107083113864065	0.288981288981289	0.13837019189398503	disease_up	top_128_per_signed_direction
HSP90AA1	26293	0.3096185044075052	0.291095528383664	0.1949057740297737	disease_up	top_128_per_signed_direction
ENC1	10561	0.29064569529145956	0.2049402727368829	0.0963772480853627	disease_up	top_128_per_signed_direction
PGGHG	20018	0.29030097004336614	0.1477853342260122	0.027364254367094054	disease_up	top_128_per_signed_direction
AXIN2	31340	0.2801072793469454	0.15451566299023925	0.031752861199552534	disease_up	top_128_per_signed_direction
EPHB2	529	0.26151868111143506	0.27573205539307233	0.16711126409087	disease_up	top_128_per_signed_direction
CADPS	7013	0.260934239156389	0.13573416963247473	0.02615953876602702	disease_up	top_128_per_signed_direction
DUOX2	26991	0.25987826840234146	0.1637126043905705	0.03605541691764908	disease_up	top_128_per_signed_direction
BDP1	10522	0.25973468335966265	0.2976496705310265	0.25505550296876345	disease_up	top_128_per_signed_direction
NEBL	18767	0.25743684405460954	0.2860565911413369	0.15867825488340073	disease_up	top_128_per_signed_direction
GRIN2B	22527	0.25706897406295565	0.15729941153669968	0.03149470785646674	disease_up	top_128_per_signed_direction
CCNL2	67	0.2565893443922202	0.21914091405616828	0.1665949574046984	disease_up	top_128_per_signed_direction
GOLGB1	7393	0.2557854919383924	0.43750660699813243	0.4472936924533173	disease_up	top_128_per_signed_direction
SRRM2	28132	0.24883590886990214	0.4415941365093907	0.45512434386025297	disease_up	top_128_per_signed_direction
L1TD1	1262	0.24356236987174879	0.1378131717114768	0.06350572239910507	disease_up	top_128_per_signed_direction
LUC7L3	31122	0.2425866133222977	0.3983579407308221	0.3958351260648825	disease_up	top_128_per_signed_direction
CCDC88B	21100	0.23885220343557495	0.14285210895380387	0.05455640650546425	disease_up	top_128_per_signed_direction
CD44	20611	0.23805800631331897	0.2554705944536453	0.12701144479821014	disease_up	top_128_per_signed_direction
