human_symbol	yeast_sgd
5694	YJL001W
5698	YJL001W
57103	YKR043C
57103	YOR283W
57111	YER031C
57111	YFL005W
57111	YFL038C
57111	YGL210W
57194	YAL026C
57194	YIL048W
57198	YAL026C
57198	YIL048W
57380	YOR334W
57380	YPL060W
57381	YIL118W
57381	YLR229C
57381	YNL090W
57381	YPR165W
57396	YLL019C
57696	YKL161C
57696	YMR290C
57709	YFL055W
57709	YLL061W
57709	YPL274W
5790	YLR429W
5861	YER031C
5861	YFL005W
5861	YFL038C
5861	YGL210W
5862	YER031C
5862	YFL005W
5862	YFL038C
5862	YGL210W
5864	YER031C
5864	YFL005W
5864	YFL038C
5864	YGL210W
5865	YER031C
5865	YFL005W
5865	YFL038C
5865	YGL210W
5867	YER031C
5867	YFL005W
5867	YFL038C
5867	YGL210W
5868	YER031C
5868	YFL005W
5868	YFL038C
5868	YGL210W
5869	YER031C
5869	YFL005W
5869	YFL038C
5869	YGL210W
5872	YER031C
5872	YFL005W
5872	YFL038C
5872	YGL210W
5878	YER031C
5878	YFL005W
5878	YFL038C
5878	YGL210W
5879	YIL118W
5879	YLR229C
5879	YNL090W
5879	YPR165W
5880	YIL118W
5880	YLR229C
5880	YNL090W
5880	YPR165W
5881	YIL118W
5881	YLR229C
5881	YNL090W
5881	YPR165W
60	YFL039C
60	YHR129C
60625	YER013W
60625	YGL120C
60625	YKL078W
60625	YKR086W
60625	YNR011C
64114	YNL305C
6429	YDR432W
6429	YLL046C
6429	YNL004W
6431	YDR432W
6431	YLL046C
6431	YNL004W
643246	YBL078C
64577	YER073W
64577	YMR169C
64577	YMR170C
645974	YFR023W
645974	YHR015W
645974	YOR319W
64744	YNL204C
64841	YFL017C
653820	YHL010C
653820	YLL039C
653820	YOR052C
6801	YMR029C
6801	YNL258C
6801	YOR272W
6804	YPL046C
6809	YPL046C
6810	YPL046C
693161	YHR098C
693161	YIL109C
693161	YNL049C
71	YFL039C
71	YHR129C
7277	YFL037W
7277	YML085C
7277	YML124C
7280	YFL037W
7280	YML085C
7280	YML124C
728641	YPL046C
7314	YHL010C
7314	YLL039C
7314	YOR052C
7316	YHL010C
7316	YLL039C
7316	YOR052C
7323	YBR082C
7323	YDR059C
7323	YDR092W
7324	YBR082C
7324	YDR059C
7324	YDR092W
7325	YBR082C
7325	YDR059C
7325	YDR092W
7334	YBR082C
7334	YDR059C
7334	YDR092W
7464	YLR429W
7533	YDR099W
7533	YER177W
7779	YDR205W
7779	YMR243C
7779	YOR316C
79012	YFR014C
79012	YKR008W
79012	YMR291W
79012	YOL016C
79018	YBR105C
79018	YGR066C
7915	YER073W
7915	YMR169C
7915	YMR170C
79665	YER013W
79665	YGL120C
79665	YKL078W
79665	YKR086W
79665	YNR011C
79895	YAL026C
79895	YIL048W
80019	YBR105C
80019	YGR066C
80117	YBR164C
80117	YDL137W
80117	YDL192W
80117	YMR138W
80117	YOR094W
80201	YFR053C
80201	YGL253W
80227	YDR364C
80227	YGL004C
80227	YKL018W
80227	YPL247C
80255	YDR438W
80255	YLR293C
80255	YML001W
80255	YML018C
80255	YOR185C
80335	YDR364C
80335	YGL004C
80335	YKL018W
80335	YPL247C
81027	YFL037W
81027	YML085C
81027	YML124C
81532	YIL106W
816	YFR014C
816	YKR008W
816	YMR291W
816	YOL016C
81876	YER031C
81876	YFL005W
81876	YFL038C
81876	YGL210W
8242	YJR119C
8242	YMR176W
8338	YOL012C
83988	YDR373W
8445	YLL019C
8449	YER013W
8449	YGL120C
8449	YKL078W
8449	YKR086W
8449	YNR011C
84932	YER031C
84932	YFL005W
84932	YFL038C
84932	YGL210W
8536	YFR014C
8536	YKR008W
8536	YMR291W
8536	YOL016C
8644	YBR149W
8644	YDR368W
8644	YJR096W
8644	YOR120W
8798	YLL019C
8826	YPL242C
8841	YPR068C
8907	YHL019C
8907	YOL062C
8907	YPL259C
8945	YGL213C
8945	YIL112W
91351	YJL050W
