target_id	target_family	model_direction_score
DRD4	gpcr	0.3797
DRD5	gpcr	0.3672
LHCGR	gpcr	0.3924
FSHR	gpcr	0.33
EDNRB	gpcr	0.3696
HRH2	gpcr	0.3863
CXCR1	gpcr	0.3999
CXCR2	gpcr	0.3975
FPR3	gpcr	0.3939
FPR2	gpcr	0.4192
ADRA1D	gpcr	0.3921
EDNRA	gpcr	0.3698
TACR1	gpcr	0.3629
PTAFR	gpcr	0.4133
ACKR3	gpcr	0.365
F2R	gpcr	0.39
NPY1R	gpcr	0.3813
HTR1D	gpcr	0.4214
HTR1B	gpcr	0.3657
HTR2A	gpcr	0.3784
HTR2C	gpcr	0.394
NMBR	gpcr	0.388
HTR1E	gpcr	0.4043
ADORA2A	gpcr	0.3809
ADORA2B	gpcr	0.3967
TACR3	gpcr	0.383
BDKRB2	gpcr	0.3798
AVPR2	gpcr	0.4147
ADORA1	gpcr	0.3508
GRPR	gpcr	0.3776
AGTR1	gpcr	0.353
OXTR	gpcr	0.4059
SSTR1	gpcr	0.3754
SSTR2	gpcr	0.3824
HTR1F	gpcr	0.3837
GNRHR	gpcr	0.3632
CALCR	gpcr	0.3545
NTSR1	gpcr	0.3232
SSTR4	gpcr	0.4015
CCKAR	gpcr	0.409
CCKBR	gpcr	0.3575
VIPR1	gpcr	0.3962
MC4R	gpcr	0.373
CCR1	gpcr	0.3943
BRS3	gpcr	0.4012
CCR7	gpcr	0.3965
GPR183	gpcr	0.3818
CXCR5	gpcr	0.3863
SSTR3	gpcr	0.3775
MC5R	gpcr	0.3727
HTR7	gpcr	0.3609
CNR2	gpcr	0.407
TRHR	gpcr	0.3593
OR1D2	gpcr	0.4014
PTGER1	gpcr	0.3126
CRHR1	gpcr	0.3594
SSTR5	gpcr	0.4077
ADRA1A	gpcr	0.4008
HRH1	gpcr	0.3741
ADRA1B	gpcr	0.3722
OPRM1	gpcr	0.3425
PTGER4	gpcr	0.4075
APLNR	gpcr	0.391
DRD3	gpcr	0.3398
AVPR1A	gpcr	0.35
OPRD1	gpcr	0.3846
OPRK1	gpcr	0.4115
OPRL1	gpcr	0.4082
CASR	gpcr	0.4127
P2RY2	gpcr	0.4653
ADCYAP1R1	gpcr	0.3752
VIPR2	gpcr	0.3742
GRM5	gpcr	0.4056
HTR2B	gpcr	0.4047
CCR2	gpcr	0.3824
MC3R	gpcr	0.4426
PTGFR	gpcr	0.3715
PTGER3	gpcr	0.3997
PTGIR	gpcr	0.3463
GLP1R	gpcr	0.4133
LPAR6	gpcr	0.3443
GPR3	gpcr	0.3483
CMKLR2	gpcr	0.4157
CCR10	gpcr	0.36
GPR4	gpcr	0.4024
XCR1	gpcr	0.3968
GPR6	gpcr	0.3297
BDKRB1	gpcr	0.377
GALR1	gpcr	0.3716
GPR12	gpcr	0.3942
RGR	gpcr	0.3925
GCGR	gpcr	0.3758
SCTR	gpcr	0.397
HTR5A	gpcr	0.3619
P2RY1	gpcr	0.377
AVPR1B	gpcr	0.3586
MTNR1A	gpcr	0.3459
NPBWR1	gpcr	0.3506
NPBWR2	gpcr	0.3755
GIPR	gpcr	0.3997
ADGRE5	gpcr	0.3634
HCAR3	gpcr	0.4031
NPY2R	gpcr	0.4333
PTH2R	gpcr	0.3949
CX3CR1	gpcr	0.397
MTNR1B	gpcr	0.3841
CXCR3	gpcr	0.3929
PRLHR	gpcr	0.3639
GPR15	gpcr	0.3867
AGTR2	gpcr	0.3543
NPY4R	gpcr	0.3937
HTR6	gpcr	0.3675
P2RY4	gpcr	0.3837
CCR3	gpcr	0.4051
CCR4	gpcr	0.3597
CCR5	gpcr	0.3619
CCR6	gpcr	0.3723
CCR8	gpcr	0.3644
CCR9	gpcr	0.3444
GPR143	gpcr	0.3891
F2RL1	gpcr	0.3513
TAS2R19	gpcr	0.3564
CXCR4	gpcr	0.3714
MC2R	gpcr	0.4002
MC1R	gpcr	0.3848
GHRHR	gpcr	0.3877
PTH1R	gpcr	0.4353
GRM1	gpcr	0.3914
PTGDR	gpcr	0.3832
CRHR2	gpcr	0.4162
FZD5	gpcr	0.373
GPR50	gpcr	0.4007
HTR4	gpcr	0.3556
ADGRE1	gpcr	0.4481
FZD2	gpcr	0.3681
GRM2	gpcr	0.3924
GRM7	gpcr	0.3979
GRM3	gpcr	0.3812
GRM4	gpcr	0.3894
P2RY6	gpcr	0.3682
OR8G1	gpcr	0.3794
LTB4R	gpcr	0.3978
GPR68	gpcr	0.3723
NPY5R	gpcr	0.3437
ACKR1	gpcr	0.4106
C3AR1	gpcr	0.3521
CALCRL	gpcr	0.3898
FFAR4	gpcr	0.3644
ADGRF1	gpcr	0.3893
GPRC6A	gpcr	0.3778
GPR158	gpcr	0.3917
GPR179	gpcr	0.3901
ADGRD1	gpcr	0.3573
OPN5	gpcr	0.3934
NPSR1	gpcr	0.3909
TAS1R3	gpcr	0.3826
TAS1R1	gpcr	0.3953
GPR141	gpcr	0.3831
MRGPRE	gpcr	0.3954
ADGRE4P	gpcr	
ADGRG6	gpcr	0.3332
ADGRA1	gpcr	0.377
P2RY8	gpcr	0.3908
ADGRG3	gpcr	0.3585
ADGRA3	gpcr	0.3752
GPR65	gpcr	0.3712
GPR135	gpcr	0.3619
ADGRF5	gpcr	0.3951
ADGRF4	gpcr	0.391
ADGRG5	gpcr	0.4227
ADGRF3	gpcr	0.407
ADGRG4	gpcr	0.3818
ADGRF2P	gpcr	
ADGRG2	gpcr	0.3574
GPR161	gpcr	0.3902
GPRC5A	gpcr	0.3573
PROKR2	gpcr	0.3616
GPR156	gpcr	0.349
OR7D4	gpcr	0.4183
OR10G3	gpcr	0.3776
OR5AN1	gpcr	0.3986
OR10J5	gpcr	0.3818
HCAR2	gpcr	0.3912
OXER1	gpcr	0.3959
MRGPRD	gpcr	0.4049
GPR152	gpcr	0.405
GPBAR1	gpcr	0.3838
GPR151	gpcr	0.4045
TAS1R2	gpcr	0.4168
RXFP2	gpcr	0.2635
ADGRV1	gpcr	0.3896
LPAR1	gpcr	0.3798
GHSR	gpcr	0.3818
KISS1R	gpcr	0.3776
TAAR8	gpcr	0.427
MCHR2	gpcr	0.3729
P2RY11	gpcr	0.3495
ADGRG7	gpcr	0.3693
OR10C1	gpcr	0.3676
MRGPRX4	gpcr	0.367
MRGPRX2	gpcr	0.3725
MRGPRX1	gpcr	0.356
QRFPR	gpcr	0.3927
GPR101	gpcr	0.4259
OXGR1	gpcr	0.3683
ADGRA2	gpcr	0.3942
F2RL3	gpcr	0.3965
TAAR6	gpcr	0.404
TAAR9	gpcr	0.3526
TAAR1	gpcr	0.3701
S1PR3	gpcr	0.3896
GPER1	gpcr	0.3962
LPAR4	gpcr	0.3998
GPR20	gpcr	0.3676
MCHR1	gpcr	0.4023
CMKLR1	gpcr	0.3562
SMO	gpcr	0.3579
P2RY13	gpcr	0.3533
SUCNR1	gpcr	0.3412
LGR4	gpcr	0.2821
HCAR1	gpcr	0.3705
GPR174	gpcr	0.3823
ADGRE3	gpcr	0.3706
GPR62	gpcr	0.4364
GPR61	gpcr	0.3935
GPR88	gpcr	0.3802
NMUR2	gpcr	0.3757
NPFFR1	gpcr	0.3709
OPN3	gpcr	0.3966
S1PR5	gpcr	0.3409
P2RY12	gpcr	0.392
OR51E2	gpcr	0.3908
HRH4	gpcr	0.4009
FZD8	gpcr	0.4296
ADGRL3	gpcr	0.3792
NMUR1	gpcr	0.3875
LPAR2	gpcr	0.3754
ADGRL4	gpcr	0.4267
LGR6	gpcr	0.3539
RXFP1	gpcr	0.4671
GPR35	gpcr	0.3992
CELSR2	gpcr	0.2583
ACKR4	gpcr	0.3946
LTB4R2	gpcr	0.3945
FZD3	gpcr	0.3899
GPRC5C	gpcr	0.3876
GPR84	gpcr	0.3812
CYSLTR2	gpcr	0.3639
GPR83	gpcr	0.3689
CELSR1	gpcr	0.3771
CELSR3	gpcr	0.3634
TAS2R16	gpcr	0.3639
TAS2R14	gpcr	0.3601
TAS2R10	gpcr	0.3541
TAS2R5	gpcr	0.4329
TAS2R4	gpcr	0.3885
GPRC5D	gpcr	0.383
GPRC5B	gpcr	0.4013
C5AR2	gpcr	0.3892
GABBR1	gpcr	0.3442
LPAR3	gpcr	0.3853
OPN4	gpcr	0.4212
ADGRE2	gpcr	0.4257
UTS2R	gpcr	0.4019
FZD4	gpcr	0.4299
FZD10	gpcr	0.3659
GPR132	gpcr	0.3606
FZD1	gpcr	0.4291
CYSLTR1	gpcr	0.3884
GPR55	gpcr	0.3609
HRH3	gpcr	0.3937
NPFFR2	gpcr	0.4004
PTGDR2	gpcr	0.3568
ADGRG1	gpcr	0.266
OR2A25	gpcr	0.4377
OR14I1	gpcr	0.3275
OR51F1	gpcr	0.3452
OR2T8	gpcr	0.4065
OR2AT4	gpcr	0.3936
OR7C2	gpcr	0.3983
GPR32	gpcr	0.4063
OR2J3	gpcr	0.3849
OR2J2	gpcr	0.3654
OR7C1	gpcr	0.3675
OR6B1	gpcr	0.3682
OR6A2	gpcr	0.4079
OR2C1	gpcr	0.3924
NTSR2	gpcr	0.3883
GPR75	gpcr	0.3761
GLP2R	gpcr	0.4007
OR2H2	gpcr	0.3894
OR4E1	gpcr	0.3932
OPN1MW2	gpcr	0.4216
OPN1MW3	gpcr	0.3995
OR1E1	gpcr	0.3639
OR10J1	gpcr	0.4206
PTGER2	gpcr	0.3782
OR3A4P	gpcr	
OR1E2	gpcr	0.3821
OR3A3	gpcr	0.3911
OR1G1	gpcr	0.3065
OR3A2	gpcr	0.3648
OR2B6	gpcr	0.3974
OR12D2	gpcr	0.4061
TAS2R38	gpcr	0.4093
TAS2R39	gpcr	0.3867
TAS2R40	gpcr	0.4039
TAS2R43	gpcr	0.3919
TAS2R31	gpcr	0.3963
TAS2R46	gpcr	0.4006
TAS2R20	gpcr	0.4101
GPR85	gpcr	0.4116
GPR17	gpcr	0.4214
OR5I1	gpcr	0.3657
OR2F1	gpcr	0.354
GPR18	gpcr	0.437
GPR176	gpcr	0.4051
P2RY14	gpcr	0.3923
OR1Q1	gpcr	0.3911
OR8B8	gpcr	0.3553
GPR19	gpcr	0.3998
GPR162	gpcr	0.3581
GPR33	gpcr	0.3712
TAS2R2	gpcr	
GPR139	gpcr	0.3822
TAS2R42	gpcr	0.431
OR2W3	gpcr	0.3802
VN1R5	gpcr	0.3919
VN1R4	gpcr	0.3999
GPR142	gpcr	0.3523
ADGRD2	gpcr	0.4053
GPR149	gpcr	0.3746
OR2C3	gpcr	0.3968
GPR26	gpcr	0.3755
OR7G1	gpcr	0.3709
GPR32P1	gpcr	
OR11H7	gpcr	0.4083
OR4M1	gpcr	0.3962
OR10P1	gpcr	0.2774
OR5T2	gpcr	0.3936
OR52L1	gpcr	0.3988
OR52N4	gpcr	0.363
OR52B4	gpcr	0.4081
OR8D4	gpcr	0.3979
OR10G4	gpcr	0.3575
OR9G4	gpcr	0.3773
OR1L6	gpcr	0.3709
OR1B1	gpcr	0.3498
OR1J2	gpcr	0.3914
OR13C5	gpcr	0.4022
OR5H6	gpcr	0.4229
OR6K6	gpcr	0.3425
OR10T2	gpcr	0.3705
OR10X1	gpcr	0.3667
OR6K3	gpcr	0.3689
OR10AG1	gpcr	0.3979
OR4L1	gpcr	0.4026
OR5B3	gpcr	0.3696
OR51Q1	gpcr	0.3973
OR5W2	gpcr	0.3948
OR8U3	gpcr	0.4384
OR9G1	gpcr	0.3729
OR1S1	gpcr	0.3697
OR1L1	gpcr	0.3914
OR2T6	gpcr	0.4305
OR51E1	gpcr	0.3939
PROKR1	gpcr	0.3784
RXFP4	gpcr	0.4065
GPR148	gpcr	0.3882
GPR119	gpcr	0.3659
OR8D1	gpcr	0.3422
OR5P3	gpcr	0.4192
OR1E3	gpcr	0.3665
GPR146	gpcr	0.3838
MRGPRX3	gpcr	0.4002
GPR78	gpcr	0.413
OR2A5	gpcr	0.3988
OR7D2	gpcr	0.3764
VN1R3	gpcr	
GPR87	gpcr	0.335
GPR63	gpcr	0.3449
OR2H1	gpcr	0.3883
OR2J1	gpcr	0.4065
OR8D2	gpcr	0.3982
VN1R1	gpcr	0.3787
LPAR5	gpcr	0.3547
OR2AG1	gpcr	0.4242
OR10A5	gpcr	0.4135
OR10A2	gpcr	0.3515
OR10A4	gpcr	0.3875
OR2D2	gpcr	0.3528
OR51V1	gpcr	0.4165
OR51B5	gpcr	0.4031
OR51B6	gpcr	0.3832
OR51M1	gpcr	0.3974
OR51J1	gpcr	0.3776
OR2S2	gpcr	0.3406
GPR173	gpcr	0.4301
RXFP3	gpcr	0.3622
TAS2R13	gpcr	0.3912
TAS2R9	gpcr	0.334
TAS2R8	gpcr	0.4009
TAS2R7	gpcr	0.3188
TAS2R3	gpcr	0.3564
TAS2R1	gpcr	0.373
GPR160	gpcr	0.3894
OR52A1	gpcr	0.4141
GPR34	gpcr	0.4089
GPR52	gpcr	0.3866
OR1A2	gpcr	0.3922
