target_id	target_family	model_direction_score
GPHRB	ion_channel	
CHRNB1	ion_channel	0.3932
CFTR	ion_channel	0.2909
GABRA1	ion_channel	0.3929
KCNE1	ion_channel	0.3814
KCNA2	ion_channel	0.4057
KCNA6	ion_channel	0.3575
CHRNB2	ion_channel	0.47
GABRB1	ion_channel	0.3651
GABRG2	ion_channel	0.3885
RYR1	ion_channel	0.3941
KCNA3	ion_channel	0.3699
KCNA4	ion_channel	0.3818
KCNA5	ion_channel	0.3772
GLRA1	ion_channel	0.4533
GLRA2	ion_channel	0.381
GABRR1	ion_channel	0.3526
UCP1	ion_channel	0.3874
GABRB3	ion_channel	0.4062
GABRR2	ion_channel	0.3853
CNGA1	ion_channel	0.4053
CHRNA5	ion_channel	0.3969
CHRNB4	ion_channel	0.3769
GABRA5	ion_channel	0.4123
CHRNA3	ion_channel	0.383
GABRA3	ion_channel	0.3703
SCN1A	ion_channel	0.3818
SCN4A	ion_channel	0.3354
CLCN1	ion_channel	0.3746
CHRNA7	ion_channel	0.3884
SCNN1A	ion_channel	0.3852
GRIK1	ion_channel	0.3956
GRIA1	ion_channel	0.3675
GRIA2	ion_channel	0.4449
GRIA3	ion_channel	0.3904
CHRNA4	ion_channel	0.3716
HTR3A	ion_channel	0.4058
GABRA2	ion_channel	0.3848
GABRB2	ion_channel	0.4019
KCNJ1	ion_channel	0.3866
KCNJ4	ion_channel	0.3658
KCNJ6	ion_channel	0.3881
GRIA4	ion_channel	0.3999
GLRB	ion_channel	0.3749
GABRA4	ion_channel	0.3675
KCNJ5	ion_channel	0.3973
KCNC1	ion_channel	0.3635
KCNJ3	ion_channel	0.3761
TRPC1	ion_channel	0.3743
SCNN1B	ion_channel	0.3755
SCNN1G	ion_channel	0.3662
SCNN1D	ion_channel	0.3928
P2RX1	ion_channel	0.4237
KCNQ1	ion_channel	0.3949
CLCN2	ion_channel	0.3997
CLCNKA	ion_channel	0.3727
CLCNKB	ion_channel	0.3978
CACNB3	ion_channel	0.3408
CACNA2D1	ion_channel	0.4096
P2RX3	ion_channel	0.3531
KCNQ4	ion_channel	0.4161
CLDN17	ion_channel	0.3756
KCNK10	ion_channel	0.4037
CACNG7	ion_channel	0.4001
KCNJ2	ion_channel	0.43
GABRE	ion_channel	0.3656
ASIC1	ion_channel	0.3568
KCNJ10	ion_channel	0.4073
CACNA1B	ion_channel	0.3984
CACNA1D	ion_channel	0.4208
CACNB1	ion_channel	0.423
KCNC4	ion_channel	0.3757
CHRNE	ion_channel	0.3753
GRIN1	ion_channel	0.3738
CHRNB3	ion_channel	0.3759
CACNG1	ion_channel	0.394
CHRND	ion_channel	0.4084
CACNB2	ion_channel	0.3387
KCNA1	ion_channel	0.3538
KCNMA1	ion_channel	0.37
KCNH2	ion_channel	0.391
GRIN2A	ion_channel	0.3562
GRIK2	ion_channel	0.3962
GRIK3	ion_channel	0.4029
GRIN2B	ion_channel	0.3528
TRPC3	ion_channel	0.4021
PKD2	ion_channel	0.4
CACNA1S	ion_channel	0.4182
CACNA1C	ion_channel	0.386
KCNC3	ion_channel	0.3716
CNGB1	ion_channel	0.417
KCNJ12	ion_channel	0.3687
SCN5A	ion_channel	0.4005
ITPR2	ion_channel	0.4039
ITPR3	ion_channel	0.3682
ITPR1	ion_channel	0.4293
KCNJ11	ion_channel	0.4179
KCNB1	ion_channel	0.386
GRIN2C	ion_channel	0.4036
RYR3	ion_channel	0.4075
CHRNA2	ion_channel	0.4095
CHRNA6	ion_channel	0.399
KCNJ8	ion_channel	0.4021
SCN9A	ion_channel	0.3788
CACNA1E	ion_channel	0.398
GRIK4	ion_channel	0.3797
CNGA2	ion_channel	0.3903
CNGA3	ion_channel	0.3404
KCNA10	ion_channel	0.4308
GABRA6	ion_channel	0.3908
GRIK5	ion_channel	0.3969
ASIC2	ion_channel	0.4119
KCNMB1	ion_channel	0.3831
LRRC26	ion_channel	0.3895
ZACN	ion_channel	0.3704
ANO6	ion_channel	0.3966
KCNT1	ion_channel	0.3903
CALHM4	ion_channel	0.4199
CALHM6	ion_channel	0.3999
TMEM63B	ion_channel	0.3865
LRRC38	ion_channel	0.4076
ANO1	ion_channel	0.4411
LRRC8E	ion_channel	0.3612
LRRC8B	ion_channel	0.351
KCNIP4	ion_channel	0.3673
KCNV1	ion_channel	0.3661
KCNT2	ion_channel	0.3517
LRRC55	ion_channel	0.3883
HTR3D	ion_channel	0.4001
LRRC8D	ion_channel	0.3828
OTOP1	ion_channel	0.4038
OTOP3	ion_channel	0.3954
CATSPER4	ion_channel	0.3444
TRPM8	ion_channel	0.4143
CACNA2D4	ion_channel	0.4049
KCNK18	ion_channel	0.3704
PKD1L2	ion_channel	0.3988
PKD1L3	ion_channel	0.3327
TRPM1	ion_channel	0.3729
KCNMB4	ion_channel	0.3693
STING1	ion_channel	0.4105
CALHM3	ion_channel	0.3589
CATSPER3	ion_channel	0.3709
CALHM1	ion_channel	0.3648
CNGA4	ion_channel	0.4107
LRRC8A	ion_channel	0.3814
NALCN	ion_channel	0.3834
MCOLN2	ion_channel	0.3775
CACNA2D3	ion_channel	0.4344
GABRG1	ion_channel	0.4026
BEST3	ion_channel	0.367
CALHM5	ion_channel	0.3951
LRRC52	ion_channel	0.304
TMEM87A	ion_channel	0.3499
KCNH5	ion_channel	0.3669
SLC17A8	ion_channel	0.3102
MCU	ion_channel	0.4063
CATSPER1	ion_channel	0.3276
TRPV1	ion_channel	0.4006
TRPV3	ion_channel	0.3892
BEST4	ion_channel	0.3897
BEST2	ion_channel	0.4164
MFSD8	ion_channel	0.3601
TPCN2	ion_channel	0.423
KCNG3	ion_channel	0.4031
GRIN3A	ion_channel	0.412
TRPM4	ion_channel	0.3613
MCOLN3	ion_channel	0.4085
TMC2	ion_channel	0.3727
TMC1	ion_channel	0.3867
KCNG4	ion_channel	0.42
KCNV2	ion_channel	0.3519
LRRC8C	ion_channel	0.3858
PKD1L1	ion_channel	0.3589
KCNE4	ion_channel	0.3715
HTR3C	ion_channel	0.3811
CACNG8	ion_channel	0.3397
PIEZO1	ion_channel	0.3662
RYR2	ion_channel	0.4005
KCNJ9	ion_channel	0.3665
KCNN1	ion_channel	0.3704
KCNB2	ion_channel	0.3489
P2RX5	ion_channel	0.3855
ORAI1	ion_channel	0.398
HVCN1	ion_channel	0.3564
CCDC51	ion_channel	0.4071
ASIC4	ion_channel	0.4236
KCNS1	ion_channel	0.3348
KCNH8	ion_channel	0.3198
CLIC6	ion_channel	0.4162
CATSPER2	ion_channel	0.4006
NOX5	ion_channel	0.3751
KCNC2	ion_channel	0.3843
TRPM7	ion_channel	0.3661
PANX2	ion_channel	0.3506
PANX1	ion_channel	0.3738
KCNA7	ion_channel	0.4277
CLCC1	ion_channel	0.3919
ORAI2	ion_channel	0.3637
KCNK17	ion_channel	0.3832
KCNK16	ion_channel	0.4168
SCN2A	ion_channel	0.3677
P2RX4	ion_channel	0.3819
P2RX7	ion_channel	0.3642
KCNJ15	ion_channel	0.4199
GABRG3	ion_channel	0.3856
KCNS3	ion_channel	0.3655
ORAI3	ion_channel	0.4182
TTYH2	ion_channel	0.377
TMEM175	ion_channel	0.3907
TMEM109	ion_channel	0.3817
TRPM6	ion_channel	0.428
SLC26A6	ion_channel	0.3739
TTYH3	ion_channel	0.3493
MCOLN1	ion_channel	0.1958
CHRNA10	ion_channel	0.383
TRPV6	ion_channel	0.3712
KCNH6	ion_channel	0.3457
SLC26A1	ion_channel	0.3589
KCNN2	ion_channel	0.4226
TTYH1	ion_channel	0.4112
KCNF1	ion_channel	0.3834
KCNK15	ion_channel	0.3941
PIEZO2	ion_channel	0.3505
PACC1	ion_channel	0.3988
CALHM2	ion_channel	0.3928
KCNK13	ion_channel	0.3884
KCNK12	ion_channel	0.413
TRPV4	ion_channel	0.3675
TRPM3	ion_channel	0.3829
TRPC7	ion_channel	0.3729
KCNMB3	ion_channel	0.3769
KCNK9	ion_channel	0.3718
KCNJ16	ion_channel	0.3792
ANO2	ion_channel	0.3669
TRPV5	ion_channel	0.3911
CNGB3	ion_channel	0.3794
KCNQ5	ion_channel	0.3657
KCNH7	ion_channel	0.3827
KCNIP2	ion_channel	0.4
KCND1	ion_channel	0.3848
TMEM38B	ion_channel	0.3831
ASIC5	ion_channel	0.3931
SCN3A	ion_channel	0.3957
CACNA2D2	ion_channel	0.4063
SCN3B	ion_channel	0.3675
KCNK4	ion_channel	0.3806
CLIC5	ion_channel	0.42
KCNIP1	ion_channel	0.3782
PKD2L2	ion_channel	0.3761
TRPM5	ion_channel	0.3598
KCND2	ion_channel	0.3909
PKD2L1	ion_channel	0.4218
CACNA1I	ion_channel	0.3998
TMEM63C	ion_channel	0.4311
HCN3	ion_channel	0.3816
SLC17A7	ion_channel	0.3899
SLC17A6	ion_channel	0.394
P2RX2	ion_channel	0.3799
CACNG4	ion_channel	0.393
TRPC4	ion_channel	0.418
KCNN3	ion_channel	0.4026
CHRNA9	ion_channel	0.3875
ASIC3	ion_channel	0.3517
SCN11A	ion_channel	0.3981
KCNG1	ion_channel	0.3772
KCNG2	ion_channel	0.3315
KCND3	ion_channel	0.3843
HCN2	ion_channel	0.3409
TRPC5	ion_channel	0.3434
KCNH3	ion_channel	0.3808
GRID1	ion_channel	0.4162
TPCN1	ion_channel	0.3902
TMCO1	ion_channel	0.3807
GABRQ	ion_channel	0.367
KCNJ14	ion_channel	0.3798
KCNH4	ion_channel	0.4609
SCN8A	ion_channel	0.3734
TRPC6	ion_channel	0.3695
KCNK6	ion_channel	0.3626
KCNIP3	ion_channel	0.3174
HCN4	ion_channel	0.3543
TRPV2	ion_channel	0.3788
SCN10A	ion_channel	0.3221
KCNMB2	ion_channel	0.3583
CLIC4	ion_channel	0.3825
CACNG2	ion_channel	0.3924
KCNE2	ion_channel	0.4307
TMC4	ion_channel	0.3705
PANX3	ion_channel	0.3914
CACNG6	ion_channel	0.3549
TMEM38A	ion_channel	0.3827
KCNS2	ion_channel	0.3901
KCNK7	ion_channel	0.4287
OTOP2	ion_channel	0.3994
FXYD6P3	ion_channel	
TMEM37	ion_channel	0.3636
