target_id	uniprot_acc	fetched
TRPM6	Q9BX84	1
CACNB1	Q02641	1
GPR157	Q5UAW9	1
GPR39	O43194	1
OR2T12	Q8NG77	1
GABRB3	P28472	1
CNGA1	P29973	1
KCNG3	Q8TAE7	1
GABRB2	P47870	1
CATSPER2	Q96P56	1
OPN3	Q9H1Y3	1
GRIK2	Q13002	1
TRPA1	O75762	1
C5AR1	P21730	1
TMEM175	Q9BSA9	1
TPCN1	Q9ULQ1	1
CLDN4	O14493	1
ADGRV1	Q8WXG9	1
CHRNA7	P36544	1
GPRC5C	Q9NQ84	1
LPAR3	Q9UBY5	1
SCNN1A	P37088	1
KCND3	Q9UK17	1
TMEM38A	Q9H6F2	1
CLIC4	Q9Y696	1
LRRC8A	Q8IWT6	1
ADGRL3	Q9HAR2	1
SCN9A	Q15858	1
MCOLN2	Q8IZK6	1
SCNN1B	P51168	1
ADGRA3	Q8IWK6	1
TRPC1	P48995	1
HRH1	P35367	1
SLC26A6	Q9BXS9	1
CXCR4	P61073	1
TRPC6	Q9Y210	1
ADGRG7	Q96K78	1
FZD6	O60353	1
KCNQ5	Q9NR82	1
KCNS3	Q9BQ31	1
GPR135	Q8IZ08	1
TRPM4	Q8TD43	1
MFSD8	Q8NHS3	1
LRRC8B	Q6P9F7	1
TMEM87A	Q8NBN3	1
CACNB2	Q08289	1
LGR4	Q9BXB1	1
