ligand_id	receptor	score
0cde988c4afa2973	kcnq2/7CR0	-5.7
0ce58e2ed33eed0f	kcnq2/7CR0	-5.2
0ce9967407fdec36	kcnq2/7CR0	-5.3
0d0b796b2d1cfbae	kcnq2/7CR0	-6.1
0d7559000cdcb20a	kcnq2/7CR0	-6.1
0db3e9a180b12eee	kcnq2/7CR0	-6.2
0dc5582d2628f09b	kcnq2/7CR0	-5.9
0ddbfb7afb6201ba	kcnq2/7CR0	-5.5
0dfdcb798ee6998c	kcnq2/7CR0	-6.1
0e0c20cda842db87	kcnq2/7CR0	-5.7
0e22befc497ae825	kcnq2/7CR0	-5.9
0e574f7125dfbd32	kcnq2/7CR0	-5.2
0e6e3aa205416f4e	kcnq2/7CR0	-5.8
0e7c3427f97fd90b	kcnq2/7CR0	-6.5
0e934e797a3d1da2	kcnq2/7CR0	-5.7
0eaa06b7563f4446	kcnq2/7CR0	-5.6
0ecdb8b7eab6be16	kcnq2/7CR0	-6.2
0ed4dea0f01e4c65	kcnq2/7CR0	-6.4
0ef3ef03bc2d9a3e	kcnq2/7CR0	-6.7
0f02b5c525e20d9a	kcnq2/7CR0	-5.9
0f09cf6fb7dd256f	kcnq2/7CR0	-6.3
0f37ab32590c61c7	kcnq2/7CR0	-6.1
0f58f0bb5b3043ef	kcnq2/7CR0	-5.0
0fa023a2e129b145	kcnq2/7CR0	-6.0
0fa04c8a1a5cb22c	kcnq2/7CR0	-5.2
0fb40b1abea42091	kcnq2/7CR0	-5.2
0fb9d9150e961697	kcnq2/7CR0	-6.0
0fd79c8631019cca	kcnq2/7CR0	-4.7
1001a9f25585d165	kcnq2/7CR0	-5.8
100a08914a8ad0cd	kcnq2/7CR0	-4.5
100fbfb97c3422c3	kcnq2/7CR0	-5.4
101fb435d4cb0280	kcnq2/7CR0	-5.6
102ce9709a8a78ed	kcnq2/7CR0	-5.9
108498df170c46d5	kcnq2/7CR0	-5.2
10875c3cae7c532c	kcnq2/7CR0	-5.9
108852f272f4ea5f	kcnq2/7CR0	-4.7
10922299568891ec	kcnq2/7CR0	-4.9
10e9801889d4d727	kcnq2/7CR0	-5.4
10fb50773e8e71fd	kcnq2/7CR0	-8.4
111726e833fdbd7e	kcnq2/7CR0	-5.5
111d4936935b66dc	kcnq2/7CR0	-5.9
114d427be491fdcd	kcnq2/7CR0	-5.4
11500e0cff1ba41c	kcnq2/7CR0	-6.8
119c668b7641e555	kcnq2/7CR0	-5.3
11c38d4da8cbec5b	kcnq2/7CR0	-5.5
11cbe3c941d61989	kcnq2/7CR0	-5.8
1246bcd1f0644d66	kcnq2/7CR0	-4.4
1294107a4371d739	kcnq2/7CR0	-5.2
12b1d5f88dcc48b2	kcnq2/7CR0	-5.6
12b9c67a2607105d	kcnq2/7CR0	-5.0
12bc0626435b73cf	kcnq2/7CR0	-6.0
12c57127aa522960	kcnq2/7CR0	-5.9
12fdcb20a66b3b63	kcnq2/7CR0	-5.3
133e5664b8caeabe	kcnq2/7CR0	-6.2
135297fea952bc21	kcnq2/7CR0	-6.0
135452694650a999	kcnq2/7CR0	-7.3
1357ec7195885417	kcnq2/7CR0	-6.8
135a1d821d6b8765	kcnq2/7CR0	-7.4
135f9ba94a90a19e	kcnq2/7CR0	-5.2
136637e83922cbba	kcnq2/7CR0	-6.4
136ec59b0bc1ea45	kcnq2/7CR0	-4.8
13a88b0822c9fe97	kcnq2/7CR0	-5.7
13a9fcc85a18af49	kcnq2/7CR0	-5.5
13c89cb3469514ac	kcnq2/7CR0	-4.8
13d1a231ca87c9dd	kcnq2/7CR0	-6.3
13e5798689b71db9	kcnq2/7CR0	-5.8
13fe0024173edc8a	kcnq2/7CR0	-4.8
1425c277c0d9f796	kcnq2/7CR0	-6.2
148d390bfb9e2541	kcnq2/7CR0	-6.2
14a3117bef3d7a25	kcnq2/7CR0	-6.1
14aef624e38d1321	kcnq2/7CR0	-5.7
14b7757f93229383	kcnq2/7CR0	-6.4
14cde99deb9a7b94	kcnq2/7CR0	-6.4
14d2cbf4c9bf862f	kcnq2/7CR0	-5.5
14d9bd4ae643ce16	kcnq2/7CR0	-5.4
150d4971daed7472	kcnq2/7CR0	-7.3
15197c291eb832c3	kcnq2/7CR0	-4.7
1521f85c90bd47a3	kcnq2/7CR0	-6.2
15335f0f4dcd3042	kcnq2/7CR0	-7.0
154009a50836265a	kcnq2/7CR0	-3.6
1557cba338d42896	kcnq2/7CR0	-6.8
15767a7834bf47e7	kcnq2/7CR0	-5.8
1578405648df6d02	kcnq2/7CR0	-5.6
15906a7b6fc87c72	kcnq2/7CR0	-5.8
15a28ab0948b956f	kcnq2/7CR0	-5.3
161ce1dbbac42ea7	kcnq2/7CR0	-5.6
161d8bde98f6cef0	kcnq2/7CR0	-6.3
1630d64d7218ecf1	kcnq2/7CR0	-5.0
16972bcbf2b8193d	kcnq2/7CR0	-5.7
16ace1ffbba1df45	kcnq2/7CR0	-5.3
16ace5506ef99c14	kcnq2/7CR0	-4.6
16cbdd62946a2d0b	kcnq2/7CR0	-6.8
16ceb582e94f86ea	kcnq2/7CR0	-5.0
16dd98bac1e2ae50	kcnq2/7CR0	-5.8
16e56b7e49766d7f	kcnq2/7CR0	-7.3
16f002432f7dd3ee	kcnq2/7CR0	-6.7
16fff7aeedd07a1a	kcnq2/7CR0	-6.5
1702db520ac29beb	kcnq2/7CR0	-6.1
170562ac653204c3	kcnq2/7CR0	-6.6
170a70493dd6f29e	kcnq2/7CR0	-5.8
1712d7e0bd9377d2	kcnq2/7CR0	-7.2
171e7a9b45fdd49e	kcnq2/7CR0	-5.8
171ec7f095e14258	kcnq2/7CR0	-5.6
17296dde0c779dff	kcnq2/7CR0	-5.2
173c4f27b4b01efd	kcnq2/7CR0	-5.8
173dd70c2e77a7f2	kcnq2/7CR0	-5.7
174432a634e4734c	kcnq2/7CR0	-4.8
179fd95cee588959	kcnq2/7CR0	-6.5
17c108c9cd1f1da8	kcnq2/7CR0	-5.9
17d93361cb80328a	kcnq2/7CR0	-5.1
17e460141ca2dd64	kcnq2/7CR0	-5.8
17ea424f255aae08	kcnq2/7CR0	-4.8
187f1a1e7e4a1acc	kcnq2/7CR0	-6.5
18c940db8ee57850	kcnq2/7CR0	-6.1
18cfac2fe4901307	kcnq2/7CR0	-6.9
18d8e4114ad73318	kcnq2/7CR0	-5.3
18eaf3582315f0ee	kcnq2/7CR0	-5.9
18f1554adbd5b1c7	kcnq2/7CR0	-6.7
19115a98bef6827b	kcnq2/7CR0	-4.9
19138e4dcfff79aa	kcnq2/7CR0	-6.3
192b84de0d3753a3	kcnq2/7CR0	-6.7
1942902ff5bd547d	kcnq2/7CR0	-4.9
1946f73322860b41	kcnq2/7CR0	-6.8
196905f55e36134e	kcnq2/7CR0	-6.2
197adc8ab9166a15	kcnq2/7CR0	-5.8
198dddb726030851	kcnq2/7CR0	-6.5
199342608b93d92a	kcnq2/7CR0	-5.7
19ba41384de113e4	kcnq2/7CR0	-6.2
19d14649eaaa9c27	kcnq2/7CR0	-5.0
1a10a28ba7d644c1	kcnq2/7CR0	-6.2
1a1aa950e6b22cef	kcnq2/7CR0	-6.1
1a42470573e7472b	kcnq2/7CR0	-5.2
1a75e53ee0d3e9f6	kcnq2/7CR0	-6.1
1a7b8a41407998b6	kcnq2/7CR0	-5.5
1aadf57143600b7f	kcnq2/7CR0	-5.8
1ac05fc3e5c91eee	kcnq2/7CR0	-6.2
1ac37cd7db29fb4d	kcnq2/7CR0	-6.3
1adef53568fb6509	kcnq2/7CR0	-5.9
1ae2c3f05ef7bdfd	kcnq2/7CR0	-5.2
1afcf25da8062e85	kcnq2/7CR0	-4.5
1b5f3a82a521004b	kcnq2/7CR0	-4.9
1b93ff81086d85bb	kcnq2/7CR0	-5.8
1ba9f8865bd3ac38	kcnq2/7CR0	-6.1
1bb2e4a0898384d7	kcnq2/7CR0	-5.2
1bfdd8dfc9a31c6c	kcnq2/7CR0	-6.4
1c29808a2dcb6ceb	kcnq2/7CR0	-6.2
1c6ca4ddca06c900	kcnq2/7CR0	-5.4
1cb9465d8042d515	kcnq2/7CR0	-6.1
1ce5b68e3c155af1	kcnq2/7CR0	-5.2
1cf1d251b4f4a9e0	kcnq2/7CR0	-7.5
1cf45d5f5a821791	kcnq2/7CR0	-5.1
1d13ee17752badc4	kcnq2/7CR0	-4.8
1d19d5b54d75f907	kcnq2/7CR0	-5.0
1d24203927d54fdc	kcnq2/7CR0	-6.1
1d29399d9ca2089c	kcnq2/7CR0	-4.9
1d3586743ea6e01c	kcnq2/7CR0	-5.3
1d36c2e298c1c7a9	kcnq2/7CR0	-4.6
1d3acbe0944cc2ff	kcnq2/7CR0	-5.2
1d55f759c67a68b9	kcnq2/7CR0	-6.2
1d9450415819dead	kcnq2/7CR0	-5.9
1de292c7acf521bb	kcnq2/7CR0	-7.1
1de42ec28b8b0a03	kcnq2/7CR0	-6.0
1de69c5df66d1e9a	kcnq2/7CR0	-5.2
1e4ff836200595a2	kcnq2/7CR0	-6.4
1e5ef06345360817	kcnq2/7CR0	-4.5
1e8bc4e229b12d33	kcnq2/7CR0	-5.1
1eb3036796188c87	kcnq2/7CR0	-5.4
1ec329c0b61fc0c0	kcnq2/7CR0	-6.2
1eca85c17475e4ef	kcnq2/7CR0	-6.7
1ee0974fb4922b77	kcnq2/7CR0	-5.6
1ef1aa1dc82cd274	kcnq2/7CR0	-5.4
1f5f14ad4f2bcefb	kcnq2/7CR0	-6.0
1f7b955797355eb0	kcnq2/7CR0	-6.1
1f810c7145de5c00	kcnq2/7CR0	-6.3
1f87e0d6d7508c21	kcnq2/7CR0	-5.6
1fac15cc708866da	kcnq2/7CR0	-6.2
1fe7a35268a0ae38	kcnq2/7CR0	-6.3
20289a3fbce76340	kcnq2/7CR0	-4.7
203d5b6b743f3c4d	kcnq2/7CR0	-6.0
2042ec4de4ca4bcf	kcnq2/7CR0	-6.1
2075281170ccd264	kcnq2/7CR0	-6.7
20a8f9378967252b	kcnq2/7CR0	-5.4
20ffe1de01ee9ccd	kcnq2/7CR0	-6.0
211a1180479bde27	kcnq2/7CR0	-5.0
21280c79611fbe8f	kcnq2/7CR0	-5.1
2129e4e26af56297	kcnq2/7CR0	-6.3
2165b4442d1afa97	kcnq2/7CR0	-6.5
2175fe01b63d3c1d	kcnq2/7CR0	-5.5
21a7efdc34939b1a	kcnq2/7CR0	-5.6
222de3fb2a065161	kcnq2/7CR0	-6.6
224a98a56a4129ec	kcnq2/7CR0	-6.2
229844b9370cf141	kcnq2/7CR0	-6.2
22c25ebd10c5f314	kcnq2/7CR0	-6.8
22d1186b23408ebb	kcnq2/7CR0	-4.9
22e89cd7eb2c1479	kcnq2/7CR0	-5.4
2303e9d72a6bebb5	kcnq2/7CR0	-5.5
233b1a262a1139b8	kcnq2/7CR0	-5.7
237685002f932d25	kcnq2/7CR0	-5.2
237c45daeadbd57c	kcnq2/7CR0	-5.2
23abe860144565dc	kcnq2/7CR0	-5.5
23ae24421a68ae3f	kcnq2/7CR0	-6.3
23d53931ea94bd23	kcnq2/7CR0	-5.5
23e0449c75e23e75	kcnq2/7CR0	-7.4
23eb2f557f815255	kcnq2/7CR0	-6.8
23edd1bb23024f1a	kcnq2/7CR0	-4.7
23f0cffbc377b00d	kcnq2/7CR0	-7.1
23fbb7066b11bf31	kcnq2/7CR0	-5.3
245800612bb15d86	kcnq2/7CR0	-4.0
24b547591244dbe8	kcnq2/7CR0	-6.3
24e651a318e3f50a	kcnq2/7CR0	-4.9
2532d83fa2f5a3ba	kcnq2/7CR0	-6.1
256995cfb291da45	kcnq2/7CR0	-5.7
2597424dd3442d8d	kcnq2/7CR0	-6.1
25a6a7beb9ae528b	kcnq2/7CR0	-5.8
25b2dd303ba8d3cd	kcnq2/7CR0	-7.1
25c0f7eb0a00f3f5	kcnq2/7CR0	-6.2
25dbdedb5eacc45e	kcnq2/7CR0	-6.4
25dd669819102873	kcnq2/7CR0	-6.1
26092da39b95a575	kcnq2/7CR0	-5.3
260ee75579a33ab0	kcnq2/7CR0	-4.7
262e1d4c343475ca	kcnq2/7CR0	-5.7
26485e5ce2c400d4	kcnq2/7CR0	-5.8
265aa55f565a7ef9	kcnq2/7CR0	-6.9
26c0dde4e647864d	kcnq2/7CR0	-6.5
26c32e170c6be559	kcnq2/7CR0	-5.4
26d42b22e95cdd4a	kcnq2/7CR0	-7.7
26dbab81cedd8e2c	kcnq2/7CR0	-5.4
2728bfc3b0dd01de	kcnq2/7CR0	-5.4
273c919340ad2e11	kcnq2/7CR0	-5.4
2745f950e70d807b	kcnq2/7CR0	-7.1
274ca6038fa36343	kcnq2/7CR0	-5.8
2779d5efae3a9ec3	kcnq2/7CR0	-5.4
27964d3b06311f6a	kcnq2/7CR0	-6.2
27c1518cffd9af28	kcnq2/7CR0	-6.1
27c754898af728b1	kcnq2/7CR0	-6.1
27de50d5f526b342	kcnq2/7CR0	-6.9
27ecb8cf46058453	kcnq2/7CR0	-5.0
2800d794e09621f5	kcnq2/7CR0	-6.2
28317648ee131eb5	kcnq2/7CR0	-5.6
28577faef47bbeb5	kcnq2/7CR0	-6.0
287e78a372b396c9	kcnq2/7CR0	-6.2
28991964f4ab175d	kcnq2/7CR0	-5.6
28b55418157e90ef	kcnq2/7CR0	-5.7
28c4f8bdd1155eec	kcnq2/7CR0	-6.8
28d4ade60319b826	kcnq2/7CR0	-5.1
28ee90f114b25cf1	kcnq2/7CR0	-5.4
29357bdb77c9659e	kcnq2/7CR0	-6.0
2941fc943c772fda	kcnq2/7CR0	-5.6
2943244b74ef5d24	kcnq2/7CR0	-4.1
296c80b9521133f7	kcnq2/7CR0	-7.2
29b6286dfbaa8844	kcnq2/7CR0	-5.6
29c3e645f3309046	kcnq2/7CR0	-6.5
29d7169d5fa54f18	kcnq2/7CR0	-4.8
29dc609b50854f6e	kcnq2/7CR0	-6.0
29efc35a8859a719	kcnq2/7CR0	-5.5
29fb94067a2435a3	kcnq2/7CR0	-5.8
2a035674a51096e3	kcnq2/7CR0	-5.9
2a56203e04809871	kcnq2/7CR0	-6.1
2a693da5f7f22c62	kcnq2/7CR0	-5.5
2a7733bf3a165861	kcnq2/7CR0	-5.6
2aa675fb76d19b2d	kcnq2/7CR0	-6.5
2aa6c6c50b10f825	kcnq2/7CR0	-5.2
2ac73a304c72c589	kcnq2/7CR0	-6.9
2af139a4826826f0	kcnq2/7CR0	-4.8
2afc564a27579399	kcnq2/7CR0	-5.2
2b0242256dd2bb1a	kcnq2/7CR0	-4.8
2b0a3d9e1af4bcbc	kcnq2/7CR0	-5.7
2b1a7cf64e2cbf78	kcnq2/7CR0	-5.0
2b1c8d6884edda3e	kcnq2/7CR0	-6.2
2b291d3de4a7c44c	kcnq2/7CR0	-5.4
2b353a49de93e32b	kcnq2/7CR0	-5.8
2b3ebca6c5da395d	kcnq2/7CR0	-7.0
2b5d35071686ea01	kcnq2/7CR0	-5.6
2b7f2030e3ada9f6	kcnq2/7CR0	-6.0
2b859caca0a3c651	kcnq2/7CR0	-5.4
2b8b85825f24ad7d	kcnq2/7CR0	-6.7
2b8ef956801e6ffd	kcnq2/7CR0	-7.0
2b92bda39c252600	kcnq2/7CR0	-5.7
2ba14c4498425048	kcnq2/7CR0	-5.7
2ba5df0d8894f121	kcnq2/7CR0	-4.9
2bb2b6c7e8da0d85	kcnq2/7CR0	-5.5
2be23610c6d8d54b	kcnq2/7CR0	-7.6
2c837719f95fb9f3	kcnq2/7CR0	-5.7
2c84935dea7d48f2	kcnq2/7CR0	-6.2
2c90557854a835d4	kcnq2/7CR0	-5.7
2cac693403d5852f	kcnq2/7CR0	-6.3
2cca3943236d5840	kcnq2/7CR0	-5.8
2ce8f1f48334e457	kcnq2/7CR0	-4.8
2cf0ad42f234544d	kcnq2/7CR0	-6.2
2cf793a4b75a3937	kcnq2/7CR0	-4.7
2cfdd198aa284462	kcnq2/7CR0	-4.4
2d1b545ee4022603	kcnq2/7CR0	-5.0
2d1c316690556e82	kcnq2/7CR0	-6.9
2d1d0e146835ef31	kcnq2/7CR0	-5.9
2d2fe54daf941c17	kcnq2/7CR0	-7.3
2d55c15ca9f23cf3	kcnq2/7CR0	-5.7
2d606a69d92c7f22	kcnq2/7CR0	-5.8
2d80c2d105c629ae	kcnq2/7CR0	-5.4
2d8a03bf880fe890	kcnq2/7CR0	-6.2
2db4457f3a6eba3c	kcnq2/7CR0	-5.5
2ded2f25f465247f	kcnq2/7CR0	-6.2
2e132d045cea5baf	kcnq2/7CR0	-6.3
2e38e0abdd5d175a	kcnq2/7CR0	-6.8
2e94bd846b73bc25	kcnq2/7CR0	-5.1
2eada0d1c410b288	kcnq2/7CR0	-5.7
2ec415b954fcb137	kcnq2/7CR0	-5.5
2ef95ced1da8e234	kcnq2/7CR0	-6.2
2f159cf153c76919	kcnq2/7CR0	-5.4
2f19b98d7f6d0e23	kcnq2/7CR0	-5.6
2f35af693ad6f052	kcnq2/7CR0	-5.5
2f5f81d8b5443241	kcnq2/7CR0	-6.1
2f765c3305216845	kcnq2/7CR0	-6.3
2f92a0ecc0f5b815	kcnq2/7CR0	-5.7
2fbf2b247ac4a20b	kcnq2/7CR0	-5.5
2fc5fd3a5f2b792b	kcnq2/7CR0	-6.8
2fc7c197456c8a22	kcnq2/7CR0	-6.5
2fd02a9e914655b2	kcnq2/7CR0	-6.4
2ff1610dd2a53235	kcnq2/7CR0	-5.6
301d3d00ef0dbaa3	kcnq2/7CR0	-5.9
302dc814cf9b9b21	kcnq2/7CR0	-5.4
30347e4456abbb0b	kcnq2/7CR0	-5.6
303fe5fe86f0f824	kcnq2/7CR0	-5.5
30550f96da81d2f5	kcnq2/7CR0	-6.0
30862060b1f74f3f	kcnq2/7CR0	-5.9
3096d21d0df17be6	kcnq2/7CR0	-6.3
30a54cdee3f1c425	kcnq2/7CR0	-5.2
30aa956ac9f60e6d	kcnq2/7CR0	-6.2
30ab37d64e4f4b77	kcnq2/7CR0	-6.4
30bb877769a4d6d4	kcnq2/7CR0	-5.4
30bb9e681f08fe72	kcnq2/7CR0	-6.7
31193246ed1f1b47	kcnq2/7CR0	-6.3
313abc35e0fe7523	kcnq2/7CR0	-5.8
31402b9f9f9335e8	kcnq2/7CR0	-5.2
3168cc09852e88be	kcnq2/7CR0	-6.3
31885376596e5fca	kcnq2/7CR0	-5.4
31d6351a82a3fbbe	kcnq2/7CR0	-5.8
31eacb431f246536	kcnq2/7CR0	-5.0
32095fb5e6a5d83f	kcnq2/7CR0	-6.6
323a09865731b3e4	kcnq2/7CR0	-5.8
3324cccec1474fb7	kcnq2/7CR0	-6.0
337562b86dcd3c45	kcnq2/7CR0	-5.8
3376b8ac6a2b244f	kcnq2/7CR0	-6.2
339a18953c16b85d	kcnq2/7CR0	-5.0
33a1f23e783df9f9	kcnq2/7CR0	-6.4
33cc6453669f3df3	kcnq2/7CR0	-5.1
33ced5e46876dffd	kcnq2/7CR0	-5.4
33d6dd9f0f41d62e	kcnq2/7CR0	-5.1
33dde08043d3191d	kcnq2/7CR0	-5.2
33fede5ff69fd0d3	kcnq2/7CR0	-6.5
33ff391aec610b5f	kcnq2/7CR0	-5.5
3421bac59f4b12c2	kcnq2/7CR0	-6.6
342379e60fe6f887	kcnq2/7CR0	-5.8
34408e8b6f914950	kcnq2/7CR0	-5.7
34a4ba15385e7490	kcnq2/7CR0	-6.3
34a9d30b449e1711	kcnq2/7CR0	-5.4
34b278c026598198	kcnq2/7CR0	-6.1
34e2948ac997e010	kcnq2/7CR0	-6.7
34e6d7f83387a54a	kcnq2/7CR0	-5.6
351e84bc8a90de3e	kcnq2/7CR0	-5.9
353f015de173efd7	kcnq2/7CR0	-4.8
35414522d5cbc238	kcnq2/7CR0	-7.3
354274cd820883c7	kcnq2/7CR0	-6.2
354b6bab3595d6bd	kcnq2/7CR0	-6.2
354f5392e93770e3	kcnq2/7CR0	-6.3
35566c14c227cd69	kcnq2/7CR0	-5.6
359901f7b2e0bc49	kcnq2/7CR0	-6.3
35a320a3157c7ca7	kcnq2/7CR0	-4.7
35ad3bc16ddc67d1	kcnq2/7CR0	-5.7
35ad8c8ed4f53af0	kcnq2/7CR0	-5.9
35b890a039fe2ccd	kcnq2/7CR0	-5.7
35c8637afc989df5	kcnq2/7CR0	-5.1
364a2a3a1b4d1bf1	kcnq2/7CR0	-6.4
364b6b2faf3e4665	kcnq2/7CR0	-5.4
3670ccc9b8aa3402	kcnq2/7CR0	-5.7
368302c3c58484f1	kcnq2/7CR0	-6.5
36862ac0d621fb7f	kcnq2/7CR0	-5.1
368e5bda7c2b18ed	kcnq2/7CR0	-4.8
36981d1463e93ad9	kcnq2/7CR0	-5.5
36ae11dce3059d27	kcnq2/7CR0	-5.6
36b16067642227e4	kcnq2/7CR0	-6.7
370426ef429dc82b	kcnq2/7CR0	-5.1
3720aa872f0f3e36	kcnq2/7CR0	-6.5
3742b34ce69faf78	kcnq2/7CR0	-6.1
3751fdf8053e3e3c	kcnq2/7CR0	-5.7
3759d698a069ae99	kcnq2/7CR0	-5.3
375d4d857efed3f4	kcnq2/7CR0	-5.5
37f09bb6eee05530	kcnq2/7CR0	-5.8
3862d245e30b3176	kcnq2/7CR0	-5.4
386b500854b51bea	kcnq2/7CR0	-6.3
387265376db3eefc	kcnq2/7CR0	-6.3
3889adad24ea3d4d	kcnq2/7CR0	-6.5
389ada08a63b8d13	kcnq2/7CR0	-6.4
389d87cb40071233	kcnq2/7CR0	-5.0
