ligand_id	receptor	score
00260564644f5bcf	lpar1/4Z34	-8.9
002b700329d1247e	lpar1/4Z34	-8.6
0033aff15c9bf575	lpar1/4Z34	-8.3
003cd95956db2488	lpar1/4Z34	-9.0
0084c5ebb5a94917	lpar1/4Z34	-7.4
0089f4c5f7a1fcc8	lpar1/4Z34	-8.7
00a766ca3d0a1d4f	lpar1/4Z34	-8.9
00bcd1f6f33a3c91	lpar1/4Z34	-7.2
00d2a066766a7e35	lpar1/4Z34	-9.5
00d409eb62d7397a	lpar1/4Z34	-9.1
00d682808b0d4332	lpar1/4Z34	-5.7
00e44cb45f8ab601	lpar1/4Z34	-8.7
00f7f8ba0ac7b0e5	lpar1/4Z34	-8.9
00f962744cc45b8c	lpar1/4Z34	-9.5
01059fa6dc90894a	lpar1/4Z34	-9.5
0134d073c943f185	lpar1/4Z34	-9.4
016d9f2838af66c0	lpar1/4Z34	-8.4
01799c36f36d1260	lpar1/4Z34	-7.8
019b2756734548c9	lpar1/4Z34	-9.6
01a753fbb00d02a3	lpar1/4Z34	-9.1
01ba2cf8a2328f88	lpar1/4Z34	-9.4
01d8df21052864ee	lpar1/4Z34	-9.1
01e3e55636bb193e	lpar1/4Z34	-9.7
01f467ad6efb4242	lpar1/4Z34	-9.1
020d1677f4a0e404	lpar1/4Z34	-9.2
022a9696b3553793	lpar1/4Z34	-10.3
02377138fc67f06c	lpar1/4Z34	-8.1
023d2140e1dfcdf1	lpar1/4Z34	-8.8
025338af0330fcdb	lpar1/4Z34	-9.5
029cdaf48a945242	lpar1/4Z34	-8.7
02a5c4781f18d068	lpar1/4Z34	-8.5
02bfabd367f5b752	lpar1/4Z34	-9.4
02c7e950e749bec2	lpar1/4Z34	-8.3
02ce6daeec10a007	lpar1/4Z34	-9.0
02de1845f1c23787	lpar1/4Z34	-8.9
02deece0c719476f	lpar1/4Z34	-9.4
02e7ebe0c24f9dc6	lpar1/4Z34	-8.3
02e911f238bbbaf3	lpar1/4Z34	-8.5
03199c0ec5c71096	lpar1/4Z34	-8.5
03228f6b63cebc48	lpar1/4Z34	-9.3
033a79e1148ad737	lpar1/4Z34	-8.2
0341d0078a551616	lpar1/4Z34	-9.0
035652eae224236d	lpar1/4Z34	-9.2
037bb07cff599b64	lpar1/4Z34	-9.4
03930b0547432b9b	lpar1/4Z34	-8.3
03a712dfc2a6d590	lpar1/4Z34	-7.9
03d4677d5cc534ca	lpar1/4Z34	-9.6
03db68cdea4b8518	lpar1/4Z34	-9.0
03e0e7187a83fe68	lpar1/4Z34	-8.2
03e5902e6ff9f5f8	lpar1/4Z34	-8.2
03efb8fe14a93115	lpar1/4Z34	-9.0
042776d8ac23034a	lpar1/4Z34	-9.2
043a865e46b0b237	lpar1/4Z34	-8.2
0446ee22aa2bf192	lpar1/4Z34	-8.1
046be683e82da891	lpar1/4Z34	-9.5
047ce31242b948b7	lpar1/4Z34	-9.2
04958b6a60d371fe	lpar1/4Z34	-9.2
049feaff3d829959	lpar1/4Z34	-10.8
04ad6e6bb18f4284	lpar1/4Z34	-7.9
04bd6ddbcd4703a4	lpar1/4Z34	-9.4
04dd1777ad1b07a7	lpar1/4Z34	-5.5
0582f7afcf4e13ea	lpar1/4Z34	-8.8
058fcb4401d5445a	lpar1/4Z34	-10.6
05909260126938e3	lpar1/4Z34	-5.1
05a89be934cc0f7b	lpar1/4Z34	-7.9
05da9efafe95a7a8	lpar1/4Z34	-8.1
05f8b7f4e8f243ba	lpar1/4Z34	-9.5
05fcb2e613c6bad0	lpar1/4Z34	-8.6
0652fb35dfb31d1a	lpar1/4Z34	-8.0
067e5a225b8c5ed5	lpar1/4Z34	-8.8
069706b5ac751dc2	lpar1/4Z34	-9.0
069dcc9f19cd5524	lpar1/4Z34	-10.1
06ac8608a4458eb6	lpar1/4Z34	-10.6
06dafb79de29b739	lpar1/4Z34	-8.2
06db0aafe454a74d	lpar1/4Z34	-6.2
06e7fb4dd821a43c	lpar1/4Z34	-10.5
06f2e360cb14791a	lpar1/4Z34	-7.6
06fc7e30bf8d971c	lpar1/4Z34	-7.8
0703bdf7f08eae61	lpar1/4Z34	-9.2
0709fc0891b60665	lpar1/4Z34	-9.3
07173992d00d095b	lpar1/4Z34	-8.8
071b1f5a562e91bc	lpar1/4Z34	-9.8
0747563320a8d401	lpar1/4Z34	-8.1
076f990333cad32c	lpar1/4Z34	-8.0
07903fbd98b23ee1	lpar1/4Z34	-8.1
07cc0dfda4aadd5d	lpar1/4Z34	-8.7
0802c1673b0c0ce0	lpar1/4Z34	-8.7
080dcbef5604c643	lpar1/4Z34	-8.7
08330a7678742140	lpar1/4Z34	-9.2
087aa0d556a089da	lpar1/4Z34	-8.3
088c60a4a46c5bb4	lpar1/4Z34	-8.4
08b6f6dfd3f502d2	lpar1/4Z34	-10.9
08b97311e0968315	lpar1/4Z34	-8.7
08cd5dddf7e32b4e	lpar1/4Z34	-8.8
08df3f0b4c559a83	lpar1/4Z34	-8.0
0923330ab83990a6	lpar1/4Z34	-9.6
092dcc8a5bca1253	lpar1/4Z34	-7.5
0967061482452fb2	lpar1/4Z34	-9.7
096cdb90474e756d	lpar1/4Z34	-9.1
09c57c24ac2349dc	lpar1/4Z34	-10.2
09d5910d3e14430a	lpar1/4Z34	-10.2
09da90212bdf0b65	lpar1/4Z34	-7.9
09de76ac63d2cf6f	lpar1/4Z34	-7.5
0a56fcf8fa8bae23	lpar1/4Z34	-10.5
0a5c3d5f743a6f56	lpar1/4Z34	-8.5
0a765c5310321cae	lpar1/4Z34	-8.5
0aacfa32fb064f2e	lpar1/4Z34	-8.4
0ab88ec51d8dd268	lpar1/4Z34	-8.2
0acaf1f299f2c7ee	lpar1/4Z34	-8.5
0aecb4c718d19798	lpar1/4Z34	-8.5
0b173fa9ee2e9e01	lpar1/4Z34	-8.3
0b19fc6fc7610685	lpar1/4Z34	-8.0
0b2b1ae614a453b0	lpar1/4Z34	-7.7
0b2b9611c7d2fbe8	lpar1/4Z34	-9.2
0b303e86851b31a9	lpar1/4Z34	-8.7
0b405e678fb2de92	lpar1/4Z34	-7.8
0b61e1cbced15f30	lpar1/4Z34	-7.8
0b692b6a0b1cf732	lpar1/4Z34	-9.6
0bad670569191d1d	lpar1/4Z34	-7.8
0bc00eb06e171d9e	lpar1/4Z34	-8.9
