target_id	model_direction_score	models_used	gene	statistical_state_effect	direction_agrees
NOP58	0.338	scfoundation	NOP58	0.1217482701564828	True
TOP2A	0.4204	scfoundation	TOP2A	0.12071491459695	True
SOX9	0.3703	scfoundation	SOX9	0.1177423062423865	True
LINC01811			LINC01811	0.1164153169083874	
RIF1	0.415	scfoundation	RIF1	0.1152967053155104	True
SIGIRR	0.4015	scfoundation	SIGIRR	0.1149492751186092	True
BRD9	0.3955	scfoundation	BRD9	0.1147078781699141	True
BRD2	0.3611	scfoundation	BRD2	0.1145238840642074	True
PABPC1	0.3663	scfoundation	PABPC1	0.1144218469659487	True
KNOP1	0.3935	scfoundation	KNOP1	0.1139827060202757	True
PDE3A	0.3774	scfoundation	PDE3A	-1.4027923785615712	False
SLC26A2	0.3834	scfoundation	SLC26A2	-1.0520533520029858	False
FKBP5	0.4173	scfoundation	FKBP5	-1.0193824220138292	False
PCSK5	0.3545	scfoundation	PCSK5	-0.9880844523819784	False
PRKG1	0.3657	scfoundation	PRKG1	-0.9425958559537928	False
MBNL1	0.3846	scfoundation	MBNL1	-0.8892888103922207	False
LPP	0.3628	scfoundation	LPP	-0.8698731350402038	False
NR3C2	0.3656	scfoundation	NR3C2	-0.8672322016209366	False
SLC4A4	0.371	scfoundation	SLC4A4	-0.8603514411176244	False
NEDD4L	0.3912	scfoundation	NEDD4L	-0.7281114999204873	False
SATB2	0.3923	scfoundation	SATB2	-0.7269481321175894	False
CLCA4	0.371	scfoundation	CLCA4	-0.7208578213734048	False
EXT1	0.3722	scfoundation	EXT1	-0.6829491797834635	False
PDE4D	0.3907	scfoundation	PDE4D	-0.6598558512826762	False
ZBTB20	0.3535	scfoundation	ZBTB20	-0.6596367219462991	False
ZFAND3	0.3808	scfoundation	ZFAND3	-0.656680017709732	False
PDE8A	0.3899	scfoundation	PDE8A	-0.6526593205829462	False
NEAT1			NEAT1	-0.648343534519275	
FGD4	0.3716	scfoundation	FGD4	-0.6403775780151288	False
SHROOM3	0.4336	scfoundation	SHROOM3	-0.6393424812704324	False
MAML2	0.374	scfoundation	MAML2	-0.6387584479525684	False
CAMK2D	0.3938	scfoundation	CAMK2D	-0.6199771240353585	False
FRYL	0.3994	scfoundation	FRYL	-0.6193830718596776	False
GNAQ	0.392	scfoundation	GNAQ	-0.6119971697529157	False
ATP1A1	0.3718	scfoundation	ATP1A1	-0.6116581630582609	False
SCNN1B	0.3755	scfoundation	SCNN1B	-0.6098158229433466	False
MAGI3	0.3643	scfoundation	MAGI3	-0.6057776150604091	False
ADAMTSL1	0.399	scfoundation	ADAMTSL1	-0.5980609247926623	False
EIF4G3	0.3393	scfoundation	EIF4G3	-0.5959908446917932	False
MYO1D	0.3928	scfoundation	MYO1D	-0.5921739464004836	False
NEO1	0.3734	scfoundation	NEO1	-0.5885195777130624	False
TCF7L2	0.4093	scfoundation	TCF7L2	-0.5854950000842414	False
C1orf21	0.3676	scfoundation	C1orf21	-0.5839522013751168	False
LARGE1	0.3699	scfoundation	LARGE1	-0.5829313456391294	False
FOXP1	0.4061	scfoundation	FOXP1	-0.5724550578743219	False
MAGI1	0.3603	scfoundation	MAGI1	-0.5693097822368145	False
PDE9A	0.345	scfoundation	PDE9A	-0.5685858389673134	False
STXBP5	0.3471	scfoundation	STXBP5	-0.5666110850870609	False
PDCD4	0.4028	scfoundation	PDCD4	-0.5592589903778087	False
SSH2	0.4093	scfoundation	SSH2	-0.5578846279531716	False
PIP5K1B	0.4052	scfoundation	PIP5K1B	-0.557018820506831	False
PARD3B	0.3855	scfoundation	PARD3B	-0.5555260647088288	False
NR5A2	0.389	scfoundation	NR5A2	-0.5476741477226217	False
BTBD9	0.4144	scfoundation	BTBD9	-0.5460716259355346	False
ZBTB16	0.3614	scfoundation	ZBTB16	-0.5446475417217395	False
HHLA2	0.3447	scfoundation	HHLA2	-0.5443527629831806	False
UGP2	0.4099	scfoundation	UGP2	-0.5404962431639433	False
CDC42SE2	0.3598	scfoundation	CDC42SE2	-0.5399975161999464	False
LRRFIP2	0.3827	scfoundation	LRRFIP2	-0.5396818503116568	False
MED13L	0.3694	scfoundation	MED13L	-0.537714209407568	False
DLG1	0.3908	scfoundation	DLG1	-0.534044421898822	False
MCTP2	0.4022	scfoundation	MCTP2	-0.526590043057998	False
ARL15	0.3935	scfoundation	ARL15	-0.5255527378370365	False
FOXP2	0.3714	scfoundation	FOXP2	-0.5255161107246143	False
THRB	0.4089	scfoundation	THRB	-0.5247755957146486	False
PTPRK	0.3955	scfoundation	PTPRK	-0.5237700535605352	False
