target_id	model_direction_score	models_used
OR52M1	0.3313	scfoundation
OR52N1	0.3881	scfoundation
OR52N2	0.3884	scfoundation
OR52N4	0.363	scfoundation
OR52N5	0.3335	scfoundation
OR52P1	0.367	scfoundation
OR52R1	0.3595	scfoundation
OR52W1	0.3512	scfoundation
OR52Z1P		
OR56A1	0.3551	scfoundation
OR56A3	0.3694	scfoundation
OR56A4	0.4313	scfoundation
OR56A5	0.4489	scfoundation
OR56B1	0.3714	scfoundation
OR56B2		
OR56B4	0.3753	scfoundation
OR5A1	0.3797	scfoundation
OR5A2	0.4119	scfoundation
OR5AC1	0.4216	scfoundation
OR5AC2	0.3596	scfoundation
OR5AK2	0.3871	scfoundation
OR5AK3P		
OR5AL1	0.3965	scfoundation
OR5AN1	0.3986	scfoundation
OR5AP2	0.3951	scfoundation
OR5AR1	0.3713	scfoundation
OR5AS1	0.3816	scfoundation
OR5AU1	0.3661	scfoundation
OR5B12	0.3696	scfoundation
OR5B17	0.3857	scfoundation
OR5B2	0.3588	scfoundation
OR5B21	0.3369	scfoundation
OR5B3	0.3696	scfoundation
OR5BS1		
OR5C1	0.3928	scfoundation
OR5D13	0.3705	scfoundation
OR5D14	0.3771	scfoundation
OR5D16	0.408	scfoundation
OR5D18	0.3558	scfoundation
OR5D3		
OR5F1	0.4012	scfoundation
OR5G3	0.3664	scfoundation
OR5H1	0.4242	scfoundation
OR5H14	0.4176	scfoundation
OR5H15	0.3243	scfoundation
OR5H2	0.3929	scfoundation
OR5H6	0.4229	scfoundation
OR5H8	0.3696	scfoundation
OR5I1	0.3657	scfoundation
OR5J2	0.3676	scfoundation
OR5K1	0.3599	scfoundation
OR5K2	0.3863	scfoundation
OR5K3	0.3761	scfoundation
OR5K4	0.3636	scfoundation
OR5L1	0.3853	scfoundation
OR5L2	0.3992	scfoundation
OR5M1	0.3788	scfoundation
OR5M10	0.405	scfoundation
OR5M11	0.4106	scfoundation
OR5M3	0.4062	scfoundation
OR5M8	0.3905	scfoundation
OR5M9	0.3834	scfoundation
OR5P2	0.3846	scfoundation
OR5P3	0.4192	scfoundation
OR5T1	0.3647	scfoundation
OR5T2	0.3936	scfoundation
OR5T3	0.3668	scfoundation
OR5V1	0.3715	scfoundation
OR5W2	0.3948	scfoundation
OR6A2	0.4079	scfoundation
OR6B1	0.3682	scfoundation
OR6B2	0.3916	scfoundation
OR6B3	0.3962	scfoundation
OR6C1	0.3624	scfoundation
OR6C2	0.3503	scfoundation
OR6C3	0.3927	scfoundation
OR6C4	0.4015	scfoundation
OR6C6	0.4062	scfoundation
OR6C65	0.3518	scfoundation
OR6C68	0.3612	scfoundation
OR6C70	0.3663	scfoundation
OR6C74	0.3695	scfoundation
OR6C75	0.3834	scfoundation
OR6C76	0.3575	scfoundation
OR6F1	0.3894	scfoundation
OR6J1	0.3927	scfoundation
OR6K2	0.383	scfoundation
OR6K3	0.3689	scfoundation
OR6K6	0.3425	scfoundation
OR6M1	0.3994	scfoundation
OR6N1	0.3606	scfoundation
OR6N2	0.3575	scfoundation
OR6P1	0.3776	scfoundation
OR6Q1	0.403	scfoundation
OR6S1	0.4095	scfoundation
OR6T1	0.3801	scfoundation
OR6V1	0.3987	scfoundation
OR6X1	0.4067	scfoundation
OR6Y1	0.3786	scfoundation
OR7A10	0.3866	scfoundation
OR7A17	0.4297	scfoundation
OR7A2P		
OR7A5	0.4007	scfoundation
OR7C1	0.3675	scfoundation
OR7C2	0.3983	scfoundation
OR7D2	0.3764	scfoundation
OR7D4	0.4183	scfoundation
OR7E24	0.3779	scfoundation
OR7G1	0.3709	scfoundation
OR7G2	0.3817	scfoundation
OR7G3	0.3762	scfoundation
OR8A1	0.3622	scfoundation
OR8B12	0.4029	scfoundation
OR8B2	0.3709	scfoundation
OR8B3	0.395	scfoundation
OR8B4	0.3769	scfoundation
OR8B8	0.3553	scfoundation
OR8D1	0.3422	scfoundation
OR8D2	0.3982	scfoundation
OR8D4	0.3979	scfoundation
OR8G1	0.3794	scfoundation
OR8G2P		
OR8G3		
OR8G5	0.4096	scfoundation
OR8H1	0.4002	scfoundation
OR8H2	0.3352	scfoundation
OR8H3	0.3611	scfoundation
OR8I2	0.3928	scfoundation
OR8J1	0.3699	scfoundation
OR8J2	0.3938	scfoundation
OR8J3	0.3631	scfoundation
OR8K1	0.405	scfoundation
OR8K3	0.3186	scfoundation
OR8K5	0.3623	scfoundation
OR8S1	0.3875	scfoundation
OR8U1	0.3672	scfoundation
OR8U3	0.4384	scfoundation
OR8U8		
OR8U9		
OR9A1P		
OR9A2	0.3643	scfoundation
OR9A4	0.4173	scfoundation
OR9G1	0.3729	scfoundation
OR9G4	0.3773	scfoundation
OR9G9		
OR9H1		
OR9I1	0.3647	scfoundation
OR9K2	0.4161	scfoundation
OR9Q1	0.3971	scfoundation
OR9Q2	0.3937	scfoundation
ORAI1	0.398	scfoundation
ORAI2	0.3637	scfoundation
ORAI3	0.4182	scfoundation
OTOP1	0.4038	scfoundation
OTOP2	0.3994	scfoundation
OTOP3	0.3954	scfoundation
OXER1	0.3959	scfoundation
OXGR1	0.3683	scfoundation
OXTR	0.4059	scfoundation
P2RX1	0.4237	scfoundation
P2RX2	0.3799	scfoundation
P2RX3	0.3531	scfoundation
P2RX4	0.3819	scfoundation
P2RX5	0.3855	scfoundation
P2RX6	0.4068	scfoundation
P2RX7	0.3642	scfoundation
P2RY1	0.377	scfoundation
P2RY10	0.3898	scfoundation
P2RY11	0.3495	scfoundation
P2RY12	0.392	scfoundation
P2RY13	0.3533	scfoundation
P2RY14	0.3923	scfoundation
P2RY2	0.4653	scfoundation
P2RY4	0.3837	scfoundation
P2RY6	0.3682	scfoundation
P2RY8	0.3908	scfoundation
PACC1	0.3988	scfoundation
PANX1	0.3738	scfoundation
PANX2	0.3506	scfoundation
PANX3	0.3914	scfoundation
PIEZO1	0.3662	scfoundation
PIEZO2	0.3505	scfoundation
PKD1L1	0.3589	scfoundation
PKD1L2	0.3988	scfoundation
PKD1L3	0.3327	scfoundation
PKD2	0.4	scfoundation
PKD2L1	0.4218	scfoundation
PKD2L2	0.3761	scfoundation
PRLHR	0.3639	scfoundation
PROKR1	0.3784	scfoundation
PROKR2	0.3616	scfoundation
PTAFR	0.4133	scfoundation
PTGDR	0.3832	scfoundation
PTGDR2	0.3568	scfoundation
PTGER1	0.3126	scfoundation
PTGER2	0.3782	scfoundation
PTGER3	0.3997	scfoundation
PTGER4	0.4075	scfoundation
PTGFR	0.3715	scfoundation
PTGIR	0.3463	scfoundation
PTH1R	0.4353	scfoundation
PTH2R	0.3949	scfoundation
QRFPR	0.3927	scfoundation
RGR	0.3925	scfoundation
RHO	0.3815	scfoundation
RRH	0.3652	scfoundation
RXFP1	0.4671	scfoundation
RXFP2	0.2635	scfoundation
RXFP3	0.3622	scfoundation
RXFP4	0.4065	scfoundation
RYR1	0.3941	scfoundation
RYR2	0.4005	scfoundation
RYR3	0.4075	scfoundation
S1PR1	0.3758	scfoundation
S1PR2	0.3162	scfoundation
S1PR3	0.3896	scfoundation
S1PR4	0.3863	scfoundation
S1PR5	0.3409	scfoundation
SCN10A	0.3221	scfoundation
SCN11A	0.3981	scfoundation
SCN1A	0.3818	scfoundation
SCN2A	0.3677	scfoundation
SCN3A	0.3957	scfoundation
SCN3B	0.3675	scfoundation
SCN4A	0.3354	scfoundation
SCN5A	0.4005	scfoundation
SCN8A	0.3734	scfoundation
SCN9A	0.3788	scfoundation
SCNN1A	0.3852	scfoundation
SCNN1B	0.3755	scfoundation
SCNN1D	0.3928	scfoundation
SCNN1G	0.3662	scfoundation
SCTR	0.397	scfoundation
SLC17A6	0.394	scfoundation
SLC17A7	0.3899	scfoundation
SLC17A8	0.3102	scfoundation
SLC26A1	0.3589	scfoundation
SLC26A6	0.3739	scfoundation
SMO	0.3579	scfoundation
SSTR1	0.3754	scfoundation
SSTR2	0.3824	scfoundation
SSTR3	0.3775	scfoundation
SSTR4	0.4015	scfoundation
SSTR5	0.4077	scfoundation
STING1	0.4105	scfoundation
SUCNR1	0.3412	scfoundation
TAAR1	0.3701	scfoundation
TAAR2	0.3505	scfoundation
TAAR3P		
TAAR5	0.3868	scfoundation
TAAR6	0.404	scfoundation
TAAR8	0.427	scfoundation
TAAR9	0.3526	scfoundation
TACR1	0.3629	scfoundation
TACR2	0.3747	scfoundation
TACR3	0.383	scfoundation
TAS1R1	0.3953	scfoundation
TAS1R2	0.4168	scfoundation
TAS1R3	0.3826	scfoundation
TAS2R1	0.373	scfoundation
TAS2R10	0.3541	scfoundation
TAS2R13	0.3912	scfoundation
TAS2R14	0.3601	scfoundation
TAS2R16	0.3639	scfoundation
TAS2R19	0.3564	scfoundation
TAS2R2		
TAS2R20	0.4101	scfoundation
TAS2R3	0.3564	scfoundation
TAS2R30	0.3904	scfoundation
TAS2R31	0.3963	scfoundation
TAS2R33	0.4021	scfoundation
TAS2R36	0.4308	scfoundation
TAS2R38	0.4093	scfoundation
TAS2R39	0.3867	scfoundation
TAS2R4	0.3885	scfoundation
TAS2R40	0.4039	scfoundation
TAS2R41	0.3954	scfoundation
TAS2R42	0.431	scfoundation
TAS2R43	0.3919	scfoundation
TAS2R45		
TAS2R46	0.4006	scfoundation
TAS2R5	0.4329	scfoundation
TAS2R50	0.3878	scfoundation
TAS2R60	0.3779	scfoundation
TAS2R7	0.3188	scfoundation
TAS2R8	0.4009	scfoundation
TAS2R9	0.334	scfoundation
TBXA2R	0.3892	scfoundation
TMC1	0.3867	scfoundation
TMC2	0.3727	scfoundation
TMC4	0.3705	scfoundation
TMCO1	0.3807	scfoundation
TMEM109	0.3817	scfoundation
TMEM175	0.3907	scfoundation
TMEM37	0.3636	scfoundation
TMEM38A	0.3827	scfoundation
TMEM38B	0.3831	scfoundation
TMEM63A	0.3821	scfoundation
TMEM63B	0.3865	scfoundation
TMEM63C	0.4311	scfoundation
TMEM87A	0.3499	scfoundation
TPCN1	0.3902	scfoundation
TPCN2	0.423	scfoundation
TRHR	0.3593	scfoundation
TRPA1	0.3958	scfoundation
TRPC1	0.3743	scfoundation
TRPC3	0.4021	scfoundation
TRPC4	0.418	scfoundation
TRPC5	0.3434	scfoundation
TRPC6	0.3695	scfoundation
TRPC7	0.3729	scfoundation
TRPM1	0.3729	scfoundation
TRPM2	0.3605	scfoundation
TRPM3	0.3829	scfoundation
TRPM4	0.3613	scfoundation
TRPM5	0.3598	scfoundation
TRPM6	0.428	scfoundation
TRPM7	0.3661	scfoundation
TRPM8	0.4143	scfoundation
TRPV1	0.4006	scfoundation
TRPV2	0.3788	scfoundation
TRPV3	0.3892	scfoundation
TRPV4	0.3675	scfoundation
TRPV5	0.3911	scfoundation
TRPV6	0.3712	scfoundation
TSHR	0.3954	scfoundation
TTYH1	0.4112	scfoundation
TTYH2	0.377	scfoundation
TTYH3	0.3493	scfoundation
UCP1	0.3874	scfoundation
UTS2R	0.4019	scfoundation
VIPR1	0.3962	scfoundation
VIPR2	0.3742	scfoundation
VN1R1	0.3787	scfoundation
VN1R17P		
VN1R2	0.4087	scfoundation
VN1R3		
VN1R4	0.3999	scfoundation
VN1R5	0.3919	scfoundation
XCR1	0.3968	scfoundation
ZACN	0.3704	scfoundation
