target_id	model_direction_score	models_used
CACNA2D1	0.4096	scfoundation
CACNA2D2	0.4063	scfoundation
CACNA2D3	0.4344	scfoundation
CACNA2D4	0.4049	scfoundation
CACNB1	0.423	scfoundation
CACNB2	0.3387	scfoundation
CACNB3	0.3408	scfoundation
CACNB4	0.4111	scfoundation
CACNG1	0.394	scfoundation
CACNG2	0.3924	scfoundation
CACNG3	0.3928	scfoundation
CACNG4	0.393	scfoundation
CACNG6	0.3549	scfoundation
CACNG7	0.4001	scfoundation
CACNG8	0.3397	scfoundation
CALCR	0.3545	scfoundation
CALCRL	0.3898	scfoundation
CALHM1	0.3648	scfoundation
CALHM2	0.3928	scfoundation
CALHM3	0.3589	scfoundation
CALHM4	0.4199	scfoundation
CALHM5	0.3951	scfoundation
CALHM6	0.3999	scfoundation
CASR	0.4127	scfoundation
CATSPER1	0.3276	scfoundation
CATSPER2	0.4006	scfoundation
CATSPER3	0.3709	scfoundation
CATSPER4	0.3444	scfoundation
CCDC51	0.4071	scfoundation
CCKAR	0.409	scfoundation
CCKBR	0.3575	scfoundation
CCR1	0.3943	scfoundation
CCR10	0.36	scfoundation
CCR2	0.3824	scfoundation
CCR3	0.4051	scfoundation
CCR4	0.3597	scfoundation
CCR5	0.3619	scfoundation
CCR6	0.3723	scfoundation
CCR7	0.3965	scfoundation
CCR8	0.3644	scfoundation
CCR9	0.3444	scfoundation
CCRL2	0.3761	scfoundation
CELSR1	0.3771	scfoundation
CELSR2	0.2583	scfoundation
CELSR3	0.3634	scfoundation
CFTR	0.2909	scfoundation
CHRM1	0.4078	scfoundation
CHRM2	0.3649	scfoundation
CHRM3	0.4238	scfoundation
CHRM4	0.3621	scfoundation
CHRM5	0.3465	scfoundation
CHRNA1	0.4198	scfoundation
CHRNA10	0.383	scfoundation
CHRNA2	0.4095	scfoundation
CHRNA3	0.383	scfoundation
CHRNA4	0.3716	scfoundation
CHRNA5	0.3969	scfoundation
CHRNA6	0.399	scfoundation
CHRNA7	0.3884	scfoundation
CHRNA9	0.3875	scfoundation
CHRNB1	0.3932	scfoundation
CHRNB2	0.47	scfoundation
CHRNB3	0.3759	scfoundation
CHRNB4	0.3769	scfoundation
CHRND	0.4084	scfoundation
CHRNE	0.3753	scfoundation
CHRNG	0.3793	scfoundation
CLCC1	0.3919	scfoundation
CLCN1	0.3746	scfoundation
CLCN2	0.3997	scfoundation
CLCNKA	0.3727	scfoundation
CLCNKB	0.3978	scfoundation
CLDN17	0.3756	scfoundation
CLDN4	0.3898	scfoundation
CLIC1	0.3871	scfoundation
CLIC2	0.361	scfoundation
CLIC3	0.3804	scfoundation
CLIC4	0.3825	scfoundation
CLIC5	0.42	scfoundation
CLIC6	0.4162	scfoundation
CMKLR1	0.3562	scfoundation
CMKLR2	0.4157	scfoundation
CNGA1	0.4053	scfoundation
CNGA2	0.3903	scfoundation
CNGA3	0.3404	scfoundation
CNGA4	0.4107	scfoundation
CNGB1	0.417	scfoundation
CNGB3	0.3794	scfoundation
CNR1	0.4212	scfoundation
CNR2	0.407	scfoundation
CRHR1	0.3594	scfoundation
CRHR2	0.4162	scfoundation
CX3CR1	0.397	scfoundation
CXCR1	0.3999	scfoundation
CXCR2	0.3975	scfoundation
CXCR3	0.3929	scfoundation
CXCR4	0.3714	scfoundation
CXCR5	0.3863	scfoundation
CXCR6	0.3583	scfoundation
CYBB	0.3834	scfoundation
CYSLTR1	0.3884	scfoundation
CYSLTR2	0.3639	scfoundation
DRD1	0.3656	scfoundation
DRD2	0.36	scfoundation
DRD3	0.3398	scfoundation
DRD4	0.3797	scfoundation
DRD5	0.3672	scfoundation
EDNRA	0.3698	scfoundation
EDNRB	0.3696	scfoundation
F2R	0.39	scfoundation
F2RL1	0.3513	scfoundation
F2RL2	0.4005	scfoundation
F2RL3	0.3965	scfoundation
FFAR1	0.3867	scfoundation
FFAR2	0.445	scfoundation
FFAR3	0.4011	scfoundation
FFAR4	0.3644	scfoundation
FPR1	0.3919	scfoundation
FPR2	0.4192	scfoundation
FPR3	0.3939	scfoundation
FSHR	0.33	scfoundation
FXYD6P3		
FZD1	0.4291	scfoundation
FZD10	0.3659	scfoundation
FZD2	0.3681	scfoundation
FZD3	0.3899	scfoundation
FZD4	0.4299	scfoundation
FZD5	0.373	scfoundation
FZD6	0.3688	scfoundation
FZD7	0.3693	scfoundation
FZD8	0.4296	scfoundation
FZD9	0.4234	scfoundation
GABBR1	0.3442	scfoundation
GABBR2	0.4015	scfoundation
GABRA1	0.3929	scfoundation
GABRA2	0.3848	scfoundation
GABRA3	0.3703	scfoundation
GABRA4	0.3675	scfoundation
GABRA5	0.4123	scfoundation
GABRA6	0.3908	scfoundation
GABRB1	0.3651	scfoundation
GABRB2	0.4019	scfoundation
GABRB3	0.4062	scfoundation
GABRD	0.4136	scfoundation
GABRE	0.3656	scfoundation
GABRG1	0.4026	scfoundation
GABRG2	0.3885	scfoundation
GABRG3	0.3856	scfoundation
GABRP	0.4049	scfoundation
GABRQ	0.367	scfoundation
GABRR1	0.3526	scfoundation
GABRR2	0.3853	scfoundation
GABRR3	0.3685	scfoundation
GALR1	0.3716	scfoundation
GALR2	0.3766	scfoundation
GALR3	0.36	scfoundation
GCGR	0.3758	scfoundation
GHRHR	0.3877	scfoundation
GHSR	0.3818	scfoundation
GIPR	0.3997	scfoundation
GLP1R	0.4133	scfoundation
GLP2R	0.4007	scfoundation
GLRA1	0.4533	scfoundation
GLRA2	0.381	scfoundation
GLRA3	0.407	scfoundation
GLRB	0.3749	scfoundation
GNRHR	0.3632	scfoundation
GNRHR2		
GPBAR1	0.3838	scfoundation
GPER1	0.3962	scfoundation
GPHRA		
GPHRB		
GPR101	0.4259	scfoundation
GPR119	0.3659	scfoundation
GPR12	0.3942	scfoundation
GPR132	0.3606	scfoundation
GPR135	0.3619	scfoundation
GPR139	0.3822	scfoundation
GPR141	0.3831	scfoundation
GPR142	0.3523	scfoundation
GPR143	0.3891	scfoundation
GPR146	0.3838	scfoundation
GPR148	0.3882	scfoundation
GPR149	0.3746	scfoundation
GPR15	0.3867	scfoundation
GPR150	0.3971	scfoundation
GPR151	0.4045	scfoundation
GPR152	0.405	scfoundation
GPR153	0.3565	scfoundation
GPR156	0.349	scfoundation
GPR157	0.4202	scfoundation
GPR158	0.3917	scfoundation
GPR160	0.3894	scfoundation
GPR161	0.3902	scfoundation
GPR162	0.3581	scfoundation
GPR17	0.4214	scfoundation
GPR171	0.3946	scfoundation
GPR173	0.4301	scfoundation
GPR174	0.3823	scfoundation
GPR176	0.4051	scfoundation
GPR179	0.3901	scfoundation
GPR18	0.437	scfoundation
GPR183	0.3818	scfoundation
GPR19	0.3998	scfoundation
GPR20	0.3676	scfoundation
GPR21	0.4428	scfoundation
GPR22	0.3819	scfoundation
GPR25	0.3851	scfoundation
GPR26	0.3755	scfoundation
GPR27	0.414	scfoundation
GPR3	0.3483	scfoundation
GPR31	0.3814	scfoundation
GPR32	0.4063	scfoundation
GPR32P1		
GPR33	0.3712	scfoundation
GPR34	0.4089	scfoundation
GPR35	0.3992	scfoundation
GPR37	0.3928	scfoundation
