target_id	target_family	intended_direction	model_direction_score	state_signal_to_noise	directional_xatlas_reversal	xatlas_batch_direction_fraction
TRPM6	ion_channel	activate	0.428	6.449334567294652	0.0185675619529353	0.550561797752809
CACNB1	ion_channel	activate	0.423	3.0961000616378804	0.1394569329003323	0.65625
GPR157	gpcr	activate	0.4202	1.66577504974714	0.1914340227283796	0.6538461538461539
GPR39	gpcr	activate	0.4085	2.12324314449893	0.1970754323715838	0.7083333333333333
OR2T12	gpcr	activate	0.4074	2.521522133025135	0.0638150463498109	0.5975609756097561
GABRB3	ion_channel	activate	0.4062	1.8415389234855948	0.046167372238357	0.6097560975609756
CNGA1	ion_channel	activate	0.4053	2.1495074263756035	0.0491969620733952	0.6621621621621622
KCNG3	ion_channel	activate	0.4031	4.362554786958682	0.0543209857308963	0.5952380952380952
GABRB2	ion_channel	activate	0.4019	1.866090951939091	0.0290446595081543	0.6153846153846154
CATSPER2	ion_channel	activate	0.4006	2.449953959716957	0.1690990886810779	0.6029411764705883
OPN3	gpcr	activate	0.3966	6.540776732697252	0.0557321553592033	0.5970149253731343
GRIK2	ion_channel	activate	0.3962	5.817623411537553	0.013765089817217	0.5632183908045977
TRPA1	ion_channel	activate	0.3958	1.470070596662681	0.0531151784362567	0.575
C5AR1	gpcr	activate	0.3936	1.618974307047787	0.1892632498712249	0.6575342465753424
TMEM175	ion_channel	activate	0.3907	1.5975873783366346	0.1034163548698158	0.6527777777777778
TPCN1	ion_channel	activate	0.3902	2.527144950172409	0.1539580825023112	0.6271186440677966
CLDN4	ion_channel	activate	0.3898	2.6971013000814854	0.0783654449343673	0.55
ADGRV1	gpcr	activate	0.3896	3.393111138103355	0.1203326981006544	0.6666666666666667
CHRNA7	ion_channel	activate	0.3884	2.139581603938141	0.0342544142963375	0.6
GPRC5C	gpcr	activate	0.3876	2.037959923326216	0.0096681300318874	0.5810810810810811
LPAR3	gpcr	activate	0.3853	3.809589153508544	0.1337013689212426	0.6904761904761905
SCNN1A	ion_channel	activate	0.3852	2.43991750101711	0.1337420986776642	0.6458333333333333
KCND3	ion_channel	activate	0.3843	1.1788206564196786	0.1067941609865728	0.6956521739130435
TMEM38A	ion_channel	activate	0.3827	2.4006663949614317	0.007207933964904	0.6060606060606061
CLIC4	ion_channel	activate	0.3825	3.3601060984264404	0.0427742305800639	0.6428571428571428
LRRC8A	ion_channel	activate	0.3814	1.3650558394811363	0.0228798406957173	0.5875
ADGRL3	gpcr	activate	0.3792	1.6753072890865717	0.0097739394779427	0.6236559139784946
SCN9A	ion_channel	activate	0.3788	5.305770346138111	0.0447364567949417	0.64
MCOLN2	ion_channel	activate	0.3775	6.337889569944536	0.1335541960487272	0.6428571428571428
SCNN1B	ion_channel	activate	0.3755	6.310614343648346	0.1302525281804538	0.6627906976744187
ADGRA3	gpcr	activate	0.3752	4.221875928480148	0.0660784468500468	0.6388888888888888
TRPC1	ion_channel	activate	0.3743	2.304842965493594	0.1066780597158818	0.6052631578947368
HRH1	gpcr	activate	0.3741	2.9528293698676102	0.0080818255695373	0.5913978494623655
SLC26A6	ion_channel	activate	0.3739	1.0702775751510565	0.0362121129969838	0.5802469135802469
CXCR4	gpcr	activate	0.3714	2.7270911912813016	0.1214741607007624	0.653061224489796
TRPC6	ion_channel	activate	0.3695	1.8924454094857015	0.100770442658984	0.6909090909090909
ADGRG7	gpcr	activate	0.3693	3.3625958286550257	0.0929448079757313	0.64
FZD6	gpcr	activate	0.3688	3.5492640481179896	0.024219317227611	0.6132075471698113
KCNQ5	ion_channel	activate	0.3657	3.616045030467177	0.1003777921887273	0.6712328767123288
KCNS3	ion_channel	activate	0.3655	1.1567458810956597	0.1318517937691994	0.6181818181818182
GPR135	gpcr	activate	0.3619	2.797255123809268	0.2060399916014995	0.6578947368421053
TRPM4	ion_channel	activate	0.3613	2.045695272668556	0.1386453256574539	0.7524752475247525
MFSD8	ion_channel	activate	0.3601	3.7045908846269806	0.0142022438494872	0.5686274509803921
LRRC8B	ion_channel	activate	0.351	2.988605013830953	0.2048161786500583	0.653061224489796
TMEM87A	ion_channel	activate	0.3499	3.5337915947746352	0.1047335238114392	0.7
CACNB2	ion_channel	activate	0.3387	1.542567738032028	0.0388610075116543	0.6330275229357798
LGR4	gpcr	activate	0.2821	5.748830092772175	0.1771249986045763	0.7272727272727273
