inchikey	molecule_chembl_id	target_chembl_id	target_gene	pchembl
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3157	BDKRB2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3157	BDKRB2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1832	CALCR	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1832	CALCR	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL218	CNR1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL218	CNR1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL205	CA2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL205	CA2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4015	CCR2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4015	CCR2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL2414	CCR4	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL2414	CCR4	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL274	CCR5	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL274	CCR5	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4029	CXCR1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4029	CXCR1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL2434	CXCR2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL2434	CXCR2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1901	CCKAR	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1901	CCKAR	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL221	PTGS1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL221	PTGS1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL230	PTGS2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL230	PTGS2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3356	CYP1A2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3356	CYP1A2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL5282	CYP2A6	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL5282	CYP2A6	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3622	CYP2C19	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3622	CYP2C19	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3397	CYP2C9	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3397	CYP2C9	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL289	CYP2D6	6.52
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL289	CYP2D6	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL5281	CYP2E1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL5281	CYP2E1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL340	CYP3A4	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL340	CYP3A4	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL2056	DRD1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL2056	DRD1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL217	DRD2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL217	DRD2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL234	DRD3	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL234	DRD3	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL219	DRD4	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL219	DRD4	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL238	SLC6A3	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL238	SLC6A3	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL252	EDNRA	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL252	EDNRA	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL206	ESR1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL206	ESR1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL242	ESR2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL242	ESR2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL2034	NR3C1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL2034	NR3C1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3392921	Glra2 Glra3 Glra1 Glrb	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3392921	Glra2 Glra3 Glra1 Glrb	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL231	HRH1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL231	HRH1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1941	HRH2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1941	HRH2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL402	HMGCR	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL402	HMGCR	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL5486	Insr	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL5486	Insr	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1909043	LTC4S	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1909043	LTC4S	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1798	CYSLTR1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1798	CYSLTR1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4358	ALOX15	
