tier	priority	inchikey	chembl_id	task_target	family	rho	q	dose_uM	smiles	orf	task_rank	task_cosine	compound_z	library_reference	predicted_direction	control_role	compound_name	gene_common_name	essentiality	strain_collection	pair_id
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YOL131W	14	0.94917	0.03668072074651718	measured_in_library	resistant	top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		nonessential	homozygous diploid deletion (HOP-type)	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YCL021W-A	15	0.949	-0.06515946239233017	measured_in_library	hypersensitive	top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		unknown	verify_before_use	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YFR035W-A	6729	0.2747		not_quantified_in_library		bottom_task_control	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		unknown	verify_before_use	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YNL155C-A	6730	0.2747		not_quantified_in_library		bottom_task_control	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		unknown	verify_before_use	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YNL040C-A	6731	0.2747		not_quantified_in_library		bottom_task_control	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		unknown	verify_before_use	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YGR016C-A	6732	0.2747		not_quantified_in_library		bottom_task_control	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		unknown	verify_before_use	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YDL204W-A	6733	0.2747		not_quantified_in_library		bottom_task_control	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		unknown	verify_before_use	T3-P001
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YLR385C	1	0.96484	-0.023663390427827835	measured_in_library	hypersensitive	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	SWC7	nonessential	homozygous diploid deletion (HOP-type)	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YMR148W	2	0.96397	0.4373013377189636	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	LDO16	nonessential	homozygous diploid deletion (HOP-type)	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YGL121C	3	0.96384	0.043917179107666016	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	GPG1	nonessential	homozygous diploid deletion (HOP-type)	T3-P002
