target_chembl_id	target_gene
CHEMBL1075064	botB
CHEMBL1075069	rmtA
CHEMBL1075094	NFE2L2
CHEMBL1075126	PKLR
CHEMBL1075129	CFL1
CHEMBL1075133	GRK7
CHEMBL1075135	Abcb1a
CHEMBL1075138	TDP1
CHEMBL1075141	Nfe2l2
CHEMBL1075155	STK38
CHEMBL1075163	HASPIN
CHEMBL1075173	WNK1
CHEMBL1075183	KCNK2
CHEMBL1075189	PKM
CHEMBL1075195	TAOK2
CHEMBL1075229	Abcb1
CHEMBL1075270	Akr1c21
CHEMBL1075290	Glp1r
CHEMBL1075294	Ido1
CHEMBL1075307	Tdo2
CHEMBL1075322	GPR55
CHEMBL1075348	
CHEMBL1075361	
CHEMBL1075382	
CHEMBL1075383	
CHEMBL1075384	
CHEMBL1075385	
CHEMBL1075386	
CHEMBL1075387	
CHEMBL1075391	
CHEMBL1075392	
CHEMBL1075393	
CHEMBL1075394	
CHEMBL1075395	
CHEMBL1075396	
CHEMBL1075397	
CHEMBL1075398	
CHEMBL1075399	
CHEMBL1075400	
CHEMBL1075401	
CHEMBL1075402	
CHEMBL1075403	
CHEMBL1075404	
CHEMBL1075405	
CHEMBL1075406	
CHEMBL1075407	
CHEMBL1075408	
CHEMBL1075409	
CHEMBL1075410	
CHEMBL1075411	
CHEMBL1075412	
CHEMBL1075413	
CHEMBL1075414	
CHEMBL1075415	
CHEMBL1075416	
CHEMBL1075417	
CHEMBL1075418	
CHEMBL1075419	
CHEMBL1075421	
CHEMBL1075422	
CHEMBL1075423	
CHEMBL1075425	
CHEMBL1075426	
CHEMBL1075427	
CHEMBL1075428	
CHEMBL1075429	
CHEMBL1075430	
CHEMBL1075431	
CHEMBL1075432	
CHEMBL1075433	
CHEMBL1075434	
CHEMBL1075435	
CHEMBL1075436	
CHEMBL1075437	
CHEMBL1075438	
CHEMBL1075439	
CHEMBL1075440	
CHEMBL1075441	
CHEMBL1075442	
CHEMBL1075444	
CHEMBL1075445	
CHEMBL1075446	
CHEMBL1075447	
CHEMBL1075448	
CHEMBL1075449	
CHEMBL1075450	
CHEMBL1075452	
CHEMBL1075453	
CHEMBL1075454	
CHEMBL1075455	
CHEMBL1075456	
CHEMBL1075457	
CHEMBL1075458	
CHEMBL1075459	
CHEMBL1075460	
CHEMBL1075461	
CHEMBL1075462	
CHEMBL1075463	
CHEMBL1075464	
CHEMBL1075465	
CHEMBL1075466	
CHEMBL1075467	
CHEMBL1075468	
CHEMBL1075469	
CHEMBL1075470	
CHEMBL1075471	
CHEMBL1075472	
CHEMBL1075475	
CHEMBL1075477	
CHEMBL1075478	
CHEMBL1075479	
CHEMBL1075480	
CHEMBL1075481	
CHEMBL1075482	
CHEMBL1075483	
CHEMBL1075484	
CHEMBL1075485	
CHEMBL1075486	
CHEMBL1075487	
CHEMBL1075488	
CHEMBL1075489	
CHEMBL1075490	
CHEMBL1075491	
CHEMBL1075493	
CHEMBL1075494	
CHEMBL1075495	
CHEMBL1075496	
CHEMBL1075497	
CHEMBL1075498	
CHEMBL1075499	
CHEMBL1075500	
CHEMBL1075501	
CHEMBL1075502	
CHEMBL1075503	
CHEMBL1075504	
CHEMBL1075505	
CHEMBL1075509	
CHEMBL1075510	
CHEMBL1075511	
CHEMBL1075513	
CHEMBL1075514	
CHEMBL1075515	
CHEMBL1075516	
CHEMBL1075517	
CHEMBL1075518	
CHEMBL1075519	
CHEMBL1075521	
CHEMBL1075522	
CHEMBL1075523	
CHEMBL1075524	
CHEMBL1075525	
CHEMBL1075526	
CHEMBL1075527	
CHEMBL1075528	
CHEMBL1075530	
CHEMBL1075531	
CHEMBL1075532	
CHEMBL1075533	
CHEMBL1075534	
CHEMBL1075535	
CHEMBL1075536	
CHEMBL1075537	
CHEMBL1075538	
CHEMBL1075539	
CHEMBL1075540	
CHEMBL1075541	
CHEMBL1075542	
CHEMBL1075543	
CHEMBL1075544	
CHEMBL1075545	
CHEMBL1075546	
CHEMBL1075547	
CHEMBL1075552	
CHEMBL1075553	
CHEMBL1075554	
CHEMBL1075555	
CHEMBL1075556	
CHEMBL1075557	
CHEMBL1075558	
CHEMBL1075560	
CHEMBL1075561	
CHEMBL1075562	
CHEMBL1075563	
CHEMBL1075564	
CHEMBL1075565	
CHEMBL1075566	
CHEMBL1075567	
CHEMBL1075568	
CHEMBL1075569	
CHEMBL1075570	
CHEMBL1075571	
CHEMBL1075573	
CHEMBL1075574	
CHEMBL1075575	
CHEMBL1075576	
CHEMBL1075577	
CHEMBL1075578	
CHEMBL1075579	
CHEMBL1075580	
CHEMBL1075581	
CHEMBL1075582	
CHEMBL1075583	
CHEMBL1075584	
CHEMBL1075585	
CHEMBL1075586	
CHEMBL1075587	
CHEMBL1075588	
CHEMBL1075589	
CHEMBL1075590	
CHEMBL1075591	
CHEMBL1075592	
CHEMBL1075593	
CHEMBL1075594	
CHEMBL1075595	
CHEMBL1075596	
CHEMBL1075598	
CHEMBL1075600	
CHEMBL1075601	
CHEMBL1075602	
CHEMBL1075604	
CHEMBL1075605	
CHEMBL1075606	
CHEMBL1075607	
CHEMBL1075610	
CHEMBL1075611	
CHEMBL1075612	
CHEMBL1163104	OXSR1
CHEMBL1163125	BRD4
CHEMBL1250402	TRPM2
CHEMBL1250411	TRPC5
CHEMBL1287617	UGT1A1
CHEMBL1287622	L3MBTL1
CHEMBL1287627	CYBB
CHEMBL1293191	ERG
CHEMBL1293199	VRK1
CHEMBL1293224	MAPT
CHEMBL1293226	KDM4E
CHEMBL1293227	USP2
CHEMBL1293228	ska
CHEMBL1293231	Rorc
CHEMBL1293232	SMN1 SMN2
CHEMBL1293234	fba
CHEMBL1293235	LMNA
CHEMBL1293236	RECQL
CHEMBL1293237	BLM
CHEMBL1293238	Impa1
CHEMBL1293240	PLEC
CHEMBL1293246	bla(tem-2)
CHEMBL1293248	ffp
CHEMBL1293251	
CHEMBL1293254	FTL
CHEMBL1293255	HPGD
CHEMBL1293256	THPO
CHEMBL1293257	GALK1
CHEMBL1293258	SMAD3
CHEMBL1293264	lacZ
CHEMBL1293267	GPR35
CHEMBL1293269	NS3
CHEMBL1293271	CNA1
CHEMBL1293275	EYA2
CHEMBL1293277	NPC1
CHEMBL1293278	GMNN
CHEMBL1293285	nfo
CHEMBL1293287	IDE
CHEMBL1293294	RAB9A
CHEMBL1293298	PMP22
CHEMBL1293299	KMT2A
CHEMBL1293303	NS1
CHEMBL1293304	pos-1
CHEMBL1293316	RXFP1
CHEMBL1293317	MBNL1
CHEMBL1293319	mex-5
CHEMBL1615322	
CHEMBL1626541	
CHEMBL1628481	APLNR
CHEMBL1649059	VRK2
CHEMBL1667673	ABC1
CHEMBL1667687	CMD1
CHEMBL1681615	cyp121
CHEMBL1681623	cyp51A
CHEMBL1681624	cyp51B
CHEMBL1697667	Ap2s1
CHEMBL1697668	SLCO1B1
CHEMBL1697861	
CHEMBL1741163	
CHEMBL1741165	MITF
CHEMBL1741167	
CHEMBL1741171	recA
CHEMBL1741176	XBP1
CHEMBL1741180	TIM23
CHEMBL1741186	RORC
CHEMBL1741189	GFER
CHEMBL1741192	dnaB
CHEMBL1741193	CBX1
CHEMBL1741194	TIM10
CHEMBL1741202	PGAM
CHEMBL1741208	NLRP3
CHEMBL1741209	ATAD5
CHEMBL1741210	MPHOSPH8
CHEMBL1741212	G6PD-6PGL
CHEMBL1741217	APOBEC3G
CHEMBL1741219	Trpc4
CHEMBL1741220	BAZ2B
CHEMBL1743121	SLCO1B3
CHEMBL1743122	SLC22A2
CHEMBL1743124	SLCO2B1
CHEMBL1743126	SLC47A1
CHEMBL1743127	SLC47A2
CHEMBL1743128	ABCC4
CHEMBL1743316	UGT1A6
CHEMBL1743317	UGT1A7
CHEMBL1743318	UGT1A8
CHEMBL1743319	UGT1A9
CHEMBL1743320	UGT1A10
CHEMBL1743321	UGT2A1
CHEMBL1744525	NAMPT
CHEMBL1781	TOP1
CHEMBL1781865	HSPA5
CHEMBL1781868	PDCD4
CHEMBL1784	GLP1R
CHEMBL1785	EDNRB
CHEMBL1790	AVPR2
CHEMBL1791	SCNN1A
CHEMBL1793	PTH1R
CHEMBL1795083	CCT2
CHEMBL1795085	ATXN2
CHEMBL1795086	
CHEMBL1795087	USP1
CHEMBL1795091	RGS4
CHEMBL1795092	
CHEMBL1795094	NR0B1
CHEMBL1795111	Ntrk2
CHEMBL1795194	PIP4K2A
CHEMBL1798	CYSLTR1
CHEMBL1800	CRHR1
CHEMBL1806	TOP2A
CHEMBL1821	CHRM4
CHEMBL1822	IMPDH1
CHEMBL1824	ERBB2
CHEMBL1827	PDE5A
CHEMBL1830	RRM1
CHEMBL1832	CALCR
CHEMBL1833	HTR2B
CHEMBL1835	TBXAS1
CHEMBL1841	FYN
CHEMBL1844	CSF1R
CHEMBL1850	DRD5
CHEMBL1862	ABL1
CHEMBL1865	HDAC6
CHEMBL1867	ADRA2A
CHEMBL1868	FLT1
CHEMBL1871	AR
CHEMBL1882	CHRNA4
CHEMBL1889	AVPR1A
CHEMBL1899	HTR3A
CHEMBL1900	AKR1B1
CHEMBL1901	CCKAR
CHEMBL1902	FKBP1A
CHEMBL1906	RAF1
CHEMBL1907600	CDK5 CDK5R1
CHEMBL1907602	CDK1 CCNB1
CHEMBL1907603	GRIN1 GRIN2B
CHEMBL1907607	Gabrp Gabrb1 Gabrd Gabrg2 Gabra5 Gabra3 Gabrg1 Gabra2 Gabra4 Gabrg3 Gabra6 Gabra1 Gabrb3 Gabrb2 Gabrq Gabre
CHEMBL1907608	Grin1 Grin2a Grin2b Grin2c Grin2d Grin3b Grin3a
CHEMBL1907609	Chrm1 Chrm3 Chrm4 Chrm5 Chrm2
CHEMBL1907610	Adra1b Adra1d Adra1a
CHEMBL1908	CYP11B1
CHEMBL1909043	LTC4S
CHEMBL1909044	PGR
CHEMBL1909241	
CHEMBL1913	PDGFRB
CHEMBL1914	BCHE
CHEMBL1916	ADRA2C
CHEMBL1923	
CHEMBL1927	TXNRD1
CHEMBL1929	XDH
CHEMBL1935	ALDH2
CHEMBL1936	KIT
CHEMBL1937	HDAC2
CHEMBL1938225	rmlD
CHEMBL1940	CACNA1C
CHEMBL1941	HRH2
CHEMBL1942	ADRA2B
CHEMBL1947	THRB
CHEMBL1949	PPIA
CHEMBL1951	MAOA
CHEMBL1952	TYMS
CHEMBL1955	FLT4
CHEMBL1957	IGF1R
CHEMBL1963	TSHR
CHEMBL1964	KCND3
CHEMBL1973	TYR
CHEMBL1974	FLT3
CHEMBL1977	VDR
CHEMBL1978	CYP19A1
CHEMBL1980	SCN5A
CHEMBL1981	INSR
CHEMBL1985	GCGR
CHEMBL1991	IKBKB
CHEMBL1993	DNMT1
CHEMBL1997	SLC29A1
CHEMBL2001	P2RY12
CHEMBL2002	IMPDH2
CHEMBL2007	PDGFRA
CHEMBL2007622	MSRA
CHEMBL2007624	Pmp22
CHEMBL2007625	IDH1
CHEMBL2007626	APOBEC3F
CHEMBL2010633	E6
CHEMBL2014	OPRL1
CHEMBL202	DHFR
CHEMBL2026	ampC
CHEMBL2029197	RAPGEF3
CHEMBL2029198	RAPGEF4
CHEMBL203	EGFR
CHEMBL2034	NR3C1
CHEMBL2034805	Naaa
CHEMBL2035	CHRM5
CHEMBL2039	MAOB
CHEMBL204	F2
CHEMBL2041	RET
CHEMBL2044	ABAT
CHEMBL2047	NR1H4
CHEMBL205	CA2
CHEMBL2051	NA
CHEMBL2052031	FKBP5
CHEMBL2056	DRD1
CHEMBL206	ESR1
CHEMBL2061	RXRA
CHEMBL2064	GABBR1
CHEMBL2068	EPHA2
CHEMBL2069	TBXA2R
CHEMBL2069156	KEAP1
CHEMBL2073	YES1
CHEMBL2073663	SLC16A3
CHEMBL2073673	SLC22A3
CHEMBL2073683	Abcc3
CHEMBL2073693	SLC22A5
CHEMBL2073705	Abcg2
CHEMBL2074	MGAM
CHEMBL208	PGR
CHEMBL2085	MIF
CHEMBL209	PRSS1
CHEMBL2093861	MEN1 KMT2A
CHEMBL2093862	RUNX1 CBFB
CHEMBL2093864	Adra2c Adra2b Adra2a
CHEMBL2093865	HDAC1 HDAC3 HDAC6 HDAC2 HDAC5 HDAC7 HDAC8 HDAC11 HDAC4 HDAC9 HDAC10
CHEMBL2093866	ESR2 ESR1
CHEMBL2093867	PRKD3 PRKCI PRKCA PRKCG PRKCD PRKCB PRKCZ PRKCE PRKCH PRKD1 PRKCQ
CHEMBL2093868	Drd5 Drd3 Drd4 Drd1 Drd2
CHEMBL2093870	Htr2b Htr2c Htr2a
CHEMBL2093871	Gria2 Gria3 Gria4 Gria1
CHEMBL2093872	GABRA1 GABRB2 GABRG2 GABRB3 GABRA4 GABRG3 GABRQ GABRA3 GABRP GABRD GABRG1 GABRB1 GABRE GABRA2 GABRA5 GABRA6
CHEMBL2094109	CHRM3 CHRM4 CHRM1 CHRM2 CHRM5
CHEMBL2094111	Adra1b Adra1d Adra1a Adra2c Adra2b Adra2a
CHEMBL2094113	Esr2 Esr1
CHEMBL2094114	Esr1 Esr2
CHEMBL2094115	MAPK13 MAPK11 MAPK14 MAPK12
CHEMBL2094117	Adora2b Adora2a
CHEMBL2094118	ADRB1 ADRB2 ADRB3
CHEMBL2094126	CCNE1 CDK2 CCNE2
CHEMBL2094127	CDK1 CCNB1 CCNB3 CCNB2
CHEMBL2094128	CDK2 CCNA2 CCNA1
CHEMBL2094129	Oprd1 Oprk1 Oprm1
CHEMBL2094132	HTR3A HTR3E HTR3B HTR3D HTR3C
CHEMBL2094138	PRKACB PRKACA PRKACG
CHEMBL2094139	gyrB gyrA
CHEMBL2094251	ADRA1A ADRA1D ADRA1B
CHEMBL2094253	PTGS2 PTGS1
CHEMBL2094255	TOP2A TOP2B
CHEMBL2094258	NFKB2 NFKB1 RELA
CHEMBL2094266	Prkca Prkcb Prkce Prkcg Prkcd Prkch Prkcq Prkcz
CHEMBL2095155	Oprd1 Oprm1
CHEMBL2095157	Ptgs2 Ptgs1
CHEMBL2095158	ADRA2A ADRA2C ADRA2B
CHEMBL2095159	Htr1b Htr1f Htr1a Htr1d
CHEMBL2095165	HSP90AA1 HSP90AB1
