inchikey	n_sig_tasks	n_tier1	n_tier2	n_tier3	max_rho	min_q	chembl_id	n_chembl_genes	top_chembl_genes	smiles
BAJVTNDELBXKDE-UHFFFAOYSA-N	7	0	7	0	0.0311373955112221	0.0	CHEMBL5493845	0	SAMHD1	
BCFHDYKCMZOQQV-UHFFFAOYSA-N	18	0	0	18	0.2340769170330128	0.0		0		
BCUPQOPHSHPXET-UHFFFAOYSA-N	5	0	5	0	0.1437279821757461	0.0	CHEMBL1375239	2	GAA POLB ATAD5 GLP1R MBNL1	
BHRLWZVAFTWUKQ-UHFFFAOYSA-N	9	0	9	0	0.0514419795733246	0.0	CHEMBL1399095	2	Impa1 HPGD CBX1 PTH1R	
BJSGUCFPMYXEHS-XNTDXEJSSA-N	3	0	0	3	0.0263213659410688	0.0		0		
BJVQZWFJSFBAGJ-UHFFFAOYSA-N	3	0	0	3	0.0227591176700228	0.0		0		
BMOAZFYVGHVGGC-UHFFFAOYSA-N	7	0	0	7	0.0517991255462002	0.0		0		
BNFLSPBWCHLHEZ-UHFFFAOYSA-N	2	0	2	0	0.0362708978814316	0.0	CHEMBL1378818	8	NS1 USP2 Rorc ALDH1A1 KDM4E	
BQNMCASOYODBDK-UHFFFAOYSA-N	6	0	0	6	0.0330310438633546	0.0		0		
BQUZLOLWBUWTMZ-UHFFFAOYSA-N	1	0	0	1	0.0242784978205874	0.0		0		
BRGNGIVHCUCMGG-UHFFFAOYSA-N	1	0	0	1	0.0220428029545118	0.0		0		
BTGXJIPOLCSVOJ-TWGQIWQCSA-N	1	0	0	1	0.0212510170911241	0.0		0		
BTUNIUUBPAXJCE-UHFFFAOYSA-N	1	0	0	1	0.051358272014515	0.0		0		
BXIUOWUMDPZEMR-GXDHUFHOSA-N	2	0	0	2	0.0229490627515413	0.0		0		
BYBLEWFAAKGYCD-UHFFFAOYSA-N	4	0	4	0	0.0447005250679247	0.0	CHEMBL91	70	LMNA CYP2C19 cyp121 CYP3A4 CYP2C9	
CCEVJKZHAJJQJR-QPJJXVBHSA-N	4	0	0	4	0.0868914909119059	0.0		0		
CCOJFDRSZSSKOG-SNVBAGLBSA-N	48	0	48	0	0.0505642477086902	0.0	CHEMBL3039482	0	APEX1 SLCO1B1 SLCO1B3	
CEBMGSOURCAPDC-UHFFFAOYSA-N	2	0	0	2	0.100187024739503	0.0		0		
CEKRDUGRJHELNU-UHFFFAOYSA-N	7	0	0	7	0.112943016237338	0.0		0		
CFSQEKHSPXFHNV-UHFFFAOYSA-N	1	0	0	1	0.0325309477767568	0.0		0		
CFURALIVNOYQDS-UHFFFAOYSA-N	9	0	0	9	0.0292555153516755	0.0		0		
CGDKYDPBMZLPSG-UHFFFAOYSA-N	7	0	0	7	0.0658991848459962	0.0		0		
CHMTVFWOFCHPPS-UHFFFAOYSA-N	5	0	0	5	0.0351938499476843	0.0		0		
CHSGUGISNUQPGG-UHFFFAOYSA-N	2	0	0	2	0.0248563910460956	0.0		0		
