inchikey	chembl_id	task_target	family	dose	rho	q	tier	pchembl_task	n_chembl_genes	smiles
YJRJARYHRGMBPL-UHFFFAOYSA-N		ACKR1	gpcr	111.64	0.0999877448482296	0.0	3		0	CC1=CC=CC(=C1)C2=NC3=C(O2)C=CC(=C3)N=CC4=CC(=CC=C4)Br
PQJACAMSQQHBIW-UHFFFAOYSA-N		ACKR1	gpcr	142.65	0.0902081092312423	0.0	3		0	CC1=CC(=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)Br)O
VNCNRGORRVUAOZ-UHFFFAOYSA-N	CHEMBL1871588	ACKR2	gpcr	199.3	0.0279042888014713	0.0	2		11	C1=CSC(=C1)C=C2C(=O)NC(=O)NC2=O
IXEZJRBBSZMJNU-UHFFFAOYSA-N		ACKR2	gpcr	9.97	0.0246478588391186	0.0	3		0	CCCCCCCC1=CC=C(C=C1)C(=O)CBr
QLEISLGJUIVTKR-UHFFFAOYSA-N		ACKR2	gpcr	25.29	0.0244460069627143	0.0	3		0	CC(=O)OC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)OC3=CC=CC=C3
KNMVQSUYQYHINS-UHFFFAOYSA-N		ACKR2	gpcr	71.43	0.0228191554821093	0.0	3		0	CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC(=CC=C2)OC
PUHQMJSQZPUXJP-UHFFFAOYSA-N		ACKR2	gpcr	10.0	0.0227960982900065	0.0	3		0	C1=CC=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)O4
KQGQIJBFNSFSGQ-UHFFFAOYSA-N		ACKR2	gpcr	65.94	0.0220733970781117	0.0	3		0	CC1=C(SC(=C1C#N)NC(=O)C)C
JNGTXMBKZMVWFK-UHFFFAOYSA-N		ACKR2	gpcr	49.47	0.0219369422044212	0.0	3		0	COC1=CC=CC(=C1)NS(=O)(=O)CC2=CC=C(C=C2)Cl
GPQLHGCIAUEJQK-UHFFFAOYSA-N	CHEMBL78010	ACKR3	gpcr	58.4	0.0787124811979189	0.0	2		47	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)OC)O
NXJCRELRQHZBQA-UHFFFAOYSA-N	CHEMBL481049	ACKR3	gpcr	84.59	0.0731851219260299	0.0	2		18	COC1=CC(=C2C=CC(=O)OC2=C1)OC
SKSXYACZXYAMEU-UHFFFAOYSA-N		ACKR4	gpcr	4.88	0.0496623831336855	0.0	3		0	CC1=CC2=C(C=C1C)OC(=C3C=C(C=CC3=O)N)N2
SGDBTWWWUNNDEQ-LBPRGKRZSA-N	CHEMBL852	ACKR4	gpcr	456.52	0.0453788508794245	0.0	2		154	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
VHIZJSVECYVZTO-UHFFFAOYSA-N	CHEMBL1497372	ACKR4	gpcr	453.0	0.0436684453159638	0.0	2		4	C1CCC2=C(C1)C3=C(N2)C(=CC=C3)[N+](=O)[O-]
