target_id	inchikey	dose	exec_rho	exec_q	closure_rank	closure_pct	z_closure	chembl_known_target	chembl_known_is_target	scf_direction_score	tier
KCNH5	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0479987357854141	0.0	57	0.0484	2.242	False	False	0.3669	B
CELSR2	ORZIOOIMOACKMZ-UHFFFAOYSA-N	64.0	0.0436969609589236	0.0	145	0.1232	2.239	False	False	0.2583	B
GPR139	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.0914510050761467	0.0	261	0.2218	2.238	False	False	0.3822	B
GPR183	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0572910425952344	0.0	153	0.13	2.235	False	False	0.3818	B
KCNK10	AZNNBONKLSEZOT-UHFFFAOYSA-N	175.0	0.0447774677740079	0.0	25	0.0212	2.235	False	False	0.4037	B
GPR34	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.0922983759698818	0.0	140	0.1189	2.233	False	False	0.4089	B
SCN10A	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.0440209320926578	0.0	58	0.0493	2.226	False	False	0.3221	B
CACNA1G	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114.0	0.0918809112459189	0.0	100	0.085	2.223	False	False	0.407	B
DRD2	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200.0	0.0550796487736663	0.0	63	0.0535	2.223	False	False	0.36	B
CASR	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0510725156571618	0.0	71	0.0603	2.222	False	False	0.4127	B
KCNK9	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114.0	0.0767140212141668	0.0	32	0.0272	2.215	False	False	0.3718	B
PTH2R	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.0344961445315044	0.0	64	0.0544	2.213	False	False	0.3949	B
CHRM3	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0593883138343789	0.0	72	0.0612	2.18	False	False	0.4238	B
P2RY10	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0481180807193645	0.0	234	0.1988	2.179	False	False	0.3898	B
P2RX7	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.0447252998846057	0.0	84	0.0714	2.178	False	False	0.3642	B
DRD2	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0642231650022552	0.0	61	0.0518	2.174	False	False	0.36	B
KCNJ16	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0353678150078814	0.0	77	0.0654	2.164	False	False	0.3792	B
GRM1	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0420468427560381	0.0	62	0.0527	2.162	False	False	0.3914	B
HRH1	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.061587566819837	0.0	56	0.0476	2.154	False	False	0.3741	B
HRH1	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200.0	0.054637802970746	0.0	57	0.0484	2.147	False	False	0.3741	B
KCNH6	OYNFLCCFMOIPDY-UHFFFAOYSA-N	9.09	0.0346890242685219	0.0	90	0.0765	2.143	False	False	0.3457	B
ADGRF4	NXJCRELRQHZBQA-UHFFFAOYSA-N	84.59	0.0665079640378686	0.0	17	0.0144	2.138	False	False	0.391	B
HTR2A	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0675341920315699	0.0	119	0.1011	2.117	False	False	0.3784	B
ASIC5	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.1090472276850513	0.0	7	0.0059	2.103	False	False	0.3931	B
VIPR1	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.0194380842100347	0.0	157	0.1334	2.093	False	False	0.3962	B
ADRA1B	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.0393344980386242	0.0	147	0.1249	2.087	False	False	0.3722	B
TRPV5	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.0423030877394345	0.0	95	0.0807	2.079	False	False	0.3911	B
SCN11A	AIYDBDAYQJBCRS-UHFFFAOYSA-M	19.4	0.0697651579139357	0.0	41	0.0348	2.073	False	False	0.3981	B
KCNB2	FHGIYKZDHZKFAJ-UHFFFAOYSA-N	48.3	0.0547324979521244	0.0	44	0.0374	2.073	False	False	0.3489	B
CELSR2	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.0425870269840537	0.0	142	0.1206	2.067	False	False	0.2583	B
ADRA1B	IVFYNVUWEOJAST-UHFFFAOYSA-N	32.4	0.0366047117665108	0.0	148	0.1257	2.057	False	False	0.3722	B
HTR2B	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.1082386176625581	0.0	48	0.0408	2.051	False	False	0.4047	B
ASIC5	AIYDBDAYQJBCRS-UHFFFAOYSA-M	19.4	0.0989797852850897	0.0	7	0.0059	2.045	False	False	0.3931	B
KCND3	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0542225126731755	0.0	101	0.0858	2.045	False	False	0.3843	B
TRPC4	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200.0	0.052289312825954	0.0	12	0.0102	2.044	False	False	0.418	B
HTR1E	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.0923145681662408	0.0	109	0.0926	2.043	False	False	0.4043	B
KCNH6	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.0428276299345692	0.0	91	0.0773	2.037	False	False	0.3457	B
HTR4	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.0369592743362172	0.0	160	0.1359	2.036	False	False	0.3556	B
GPR39	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0400883986712261	0.0	222	0.1886	2.034	False	False	0.4085	B
GRID2	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.0869155010787529	0.0	20	0.017	2.033	False	False	0.3715	B
SCN2A	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0777784690529799	0.0	31	0.0263	2.03	False	False	0.3677	B
KCNB2	AZNNBONKLSEZOT-UHFFFAOYSA-N	175.0	0.0649616159280358	0.0	44	0.0374	2.03	False	False	0.3489	B
KCNK9	HEFTZORMGMTRPG-UHFFFAOYSA-N	314.0	0.0838231175690865	0.0	33	0.028	2.014	False	False	0.3718	B
CATSPER1	QGXBDMJGAMFCBF-LUJOEAJASA-N	68.9	0.0917271713199256	0.0	165	0.1402	2.006	False	False	0.3276	B
HTR1D	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0652000933021504	0.0	150	0.1274	2.005	False	False	0.4214	B
ADRB2	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.0371830914061627	0.0	227	0.1929	1.999	False	False	0.4081	C
KCNB1	AZNNBONKLSEZOT-UHFFFAOYSA-N	175.0	0.0587600515950417	0.0	40	0.034	1.997	False	False	0.386	C
NALCN	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200.0	0.0501247551122872	0.0	98	0.0833	1.989	False	False	0.3834	C
