target_id	inchikey	dose	exec_rho	exec_q	closure_rank	closure_pct	z_closure	chembl_known_target	chembl_known_is_target	scf_direction_score	tier
KCNQ5	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114.0	0.0794469681250904	0.0	33	0.028	3.388	False	False	0.3657	B
TRPC5	HEFTZORMGMTRPG-UHFFFAOYSA-N	314.0	0.0609929149953426	0.0	18	0.0153	3.334	False	False	0.3434	B
SCN8A	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114.0	0.0496198194779395	0.0	47	0.0399	3.288	False	False	0.3734	B
TRPV2	HEFTZORMGMTRPG-UHFFFAOYSA-N	314.0	0.0435665850534449	0.0	122	0.1037	3.205	False	False	0.3788	B
GLP2R	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114.0	0.0617197035641562	0.0	69	0.0586	3.204	False	False	0.4007	B
SCN1A	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114.0	0.053091697228138	0.0	34	0.0289	3.188	False	False	0.3818	B
ADGRF5	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114.0	0.0630332988081871	0.0	28	0.0238	3.1	False	False	0.3951	B
ADGRF4	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.0750169183729569	0.0	17	0.0144	3.066	False	False	0.391	B
SCN3A	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114.0	0.0533640812239649	0.0	46	0.0391	3.051	False	False	0.3957	B
KCNJ13	HEFTZORMGMTRPG-UHFFFAOYSA-N	314.0	0.0421837549859644	0.0	65	0.0552	3.004	False	False	0.3523	B
TRPV5	HEFTZORMGMTRPG-UHFFFAOYSA-N	314.0	0.0403126044059549	0.0	96	0.0816	3.0	False	False	0.3911	B
NALCN	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114.0	0.0548994419532624	0.0	99	0.0841	2.975	False	False	0.3834	B
GLP2R	HEFTZORMGMTRPG-UHFFFAOYSA-N	314.0	0.066393072358858	0.0	68	0.0578	2.957	False	False	0.4007	B
CACNA1A	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114.0	0.0794573205372508	0.0	130	0.1105	2.927	False	False	0.3863	B
KCNK10	PEQZOEXMRCACPF-UHFFFAOYSA-N	25.49	0.0395177661900085	0.0	25	0.0212	2.882	False	False	0.4037	B
TRPC1	HEFTZORMGMTRPG-UHFFFAOYSA-N	314.0	0.065577484650123	0.0	26	0.0221	2.869	False	False	0.3743	B
FZD6	HEFTZORMGMTRPG-UHFFFAOYSA-N	314.0	0.083463152863882	0.0	1	0.0008	2.864	False	False	0.3688	B
ADGRL4	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0581686175734202	0.0	52	0.0442	2.742	False	False	0.4267	B
GLP1R	HEFTZORMGMTRPG-UHFFFAOYSA-N	314.0	0.0443372168678721	0.0	148	0.1257	2.725	False	False	0.4133	B
GPR52	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.0642776840704228	0.0	164	0.1393	2.652	False	False	0.3866	B
KCNS3	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0447981688073932	0.0	78	0.0663	2.643	False	False	0.3655	B
ADGRL2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N	54.0	0.0780780543780021	0.0	2	0.0017	2.625	False	False	0.3374	B
ADGRL3	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114.0	0.0784765086855658	0.0	3	0.0025	2.617	False	False	0.3792	B
TRPV3	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114.0	0.076611947621739	0.0	16	0.0136	2.605	False	False	0.3892	B
TRPV3	HEFTZORMGMTRPG-UHFFFAOYSA-N	314.0	0.0760996611247699	0.0	16	0.0136	2.605	False	False	0.3892	B
DRD1	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0500076499414492	0.0	80	0.068	2.556	False	False	0.3656	B
ADRA1B	PIAKILNRCYLDQL-UHFFFAOYSA-N	114.0	0.0413331515768745	0.0	148	0.1257	2.555	False	False	0.3722	B
CHRM5	PIAKILNRCYLDQL-UHFFFAOYSA-N	114.0	0.0201285263160632	0.0	200	0.1699	2.544	False	False	0.3465	B
CALCRL	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.05456785372018	0.0	34	0.0289	2.537	False	False	0.3898	B
ADGRL3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N	54.0	0.0819962943605924	0.0	4	0.0034	2.517	False	False	0.3792	B
HTR2C	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0369767133831814	0.0	179	0.1521	2.499	False	False	0.394	B
SCN2A	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114.0	0.063362113157575	0.0	31	0.0263	2.493	False	False	0.3677	B
GPR15	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.0644269514545051	0.0	166	0.141	2.484	False	False	0.3867	B
GPR37L1	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114.0	0.0772311539283868	0.0	199	0.1691	2.483	False	False	0.3422	B
TRPV1	ORZIOOIMOACKMZ-UHFFFAOYSA-N	64.0	0.0459527198838491	0.0	22	0.0187	2.453	False	False	0.4006	B
GPRC6A	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.0957253610741571	0.0	128	0.1088	2.448	False	False	0.3778	B
HTR1F	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0589526537569168	0.0	86	0.0731	2.441	False	False	0.3837	B
NMUR2	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0451047099876923	0.0	173	0.147	2.424	False	False	0.3757	B
SCN5A	PIAKILNRCYLDQL-UHFFFAOYSA-N	114.0	0.0350419616342011	0.0	113	0.096	2.412	False	False	0.4005	B
ADGRF1	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0548427048379627	0.0	66	0.0561	2.397	False	False	0.3893	B
TAS2R16	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.0677265626548459	0.0	326	0.277	2.387	False	False	0.3639	B
SCN4A	PIAKILNRCYLDQL-UHFFFAOYSA-N	114.0	0.0303097542598803	0.0	120	0.102	2.384	False	False	0.3354	B
SCN9A	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114.0	0.069879570833829	0.0	19	0.0161	2.332	False	False	0.3788	B
KCNB1	FHGIYKZDHZKFAJ-UHFFFAOYSA-N	48.3	0.0468358651356081	0.0	41	0.0348	2.325	False	False	0.386	B
GPR19	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.0867616330407274	0.0	84	0.0714	2.323	False	False	0.3998	B
SCN8A	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.059604942929479	0.0	47	0.0399	2.322	False	False	0.3734	B
ACKR3	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.0787124811979189	0.0	200	0.1699	2.309	False	False	0.365	B
SCN3A	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0660580561571406	0.0	44	0.0374	2.296	False	False	0.3957	B
BRS3	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0504274703993831	0.0	171	0.1453	2.286	False	False	0.4012	B
SCN8A	KOLPZKQPBGVSAU-UHFFFAOYSA-N	81.0	0.0444648080087175	0.0	47	0.0399	2.281	False	False	0.3734	B
GABBR2	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.0569957691616882	0.0	21	0.0178	2.271	False	False	0.4015	B
CXCR4	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.0784970164842284	0.0	181	0.1538	2.267	False	False	0.3714	B
