inchikey	compound_name	chembl_id	dose_uM	smiles
AVAFAFDOURGYKI-UHFFFAOYSA-N	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N
RVWWDDKOKZXKCJ-UHFFFAOYSA-N	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one		54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O
BCFHDYKCMZOQQV-UHFFFAOYSA-N	Methanone, (5-benzyloxy-3-methyl-2-indolyl)(4-methyl-1-piperazinyl)-		52.1	CC1=C(NC2=C1C=C(C=C2)OCC3=CC=CC=C3)C(=O)N4CCN(CC4)C
DEKAKJHJLZRBKP-UHFFFAOYSA-N	(Bicyclo[2.2.1]hept-2-ylmethyl)[(4-methylphenyl)sulfonyl]amine		50.8	CC1=CC=C(C=C1)S(=O)(=O)NCC2CC3CCC2C3
PQRNAVUSYZYYIH-UHFFFAOYSA-N	3-[(2-Methyl-2-propenyl)oxy]aniline hydrochloride		200	CC(=C)COC1=CC=CC(=C1)N.Cl
OYVFYPVPBFPXSU-UHFFFAOYSA-N			200	C1=CC(=O)C=CC1=C2NC3=C(O2)C=CC(=C3)N
YIMZUTLUDPRFPF-QLYXXIJNSA-N			81	C1=CC=C2C(=C1)C(=NNC(=O)C3=CC=CC=C3O)C(=O)N2CC(=O)NC4=CC=C(C=C4)Br
YJRJARYHRGMBPL-UHFFFAOYSA-N	(E)-1-(3-Bromophenyl)-N-[2-(3-methylphenyl)-1,3-benzoxazol-5-YL]methanimine		111.64	CC1=CC=CC(=C1)C2=NC3=C(O2)C=CC(=C3)N=CC4=CC(=CC=C4)Br
QJXHXKPITHZZRI-UHFFFAOYSA-N	5-Ethyl-N-[1-(4-pyridinyl)ethyl]-4,5,6,7-tetrahydro-1-benzothiophene-2-carboxamide		49.47	CCC1CCC2=C(C1)C=C(S2)C(=O)NC(C)C3=CC=NC=C3
KJYYVKYSBVQXBM-NVNXTCNLSA-N	[(Z)-1-(1-adamantyl)ethylideneamino]thiourea		439	CC(=NNC(=S)N)C12CC3CC(C1)CC(C3)C2
SOHTYEKCCZMIQM-UHFFFAOYSA-N	N-(3,4-dichlorophenyl)-2,2,4-trimethyl-3,4-dihydroquinoline-1(2H)-carboxamide		550.52	CC1CC(N(C2=CC=CC=C12)C(=O)NC3=CC(=C(C=C3)Cl)Cl)(C)C
ZECGBUYROKQBIO-UHFFFAOYSA-N	6,7-Diethoxy-1-(4-phenylphenyl)-1,2,3,4-tetrahydroisoquinoline		29.07	CCOC1=C(C=C2C(NCCC2=C1)C3=CC=C(C=C3)C4=CC=CC=C4)OCC
SUOAXGSNCZHZAY-UHFFFAOYSA-N	Ethyl 2-[(3,5-dinitro-2-pyridinyl)sulfanyl]acetate		8.67	CCOC(=O)CSC1=C(C=C(C=N1)[N+](=O)[O-])[N+](=O)[O-]
XDCSSXMPPBUTQH-ZDLGFXPLSA-N	N-methyl-N-[(Z)-pyridin-3-ylmethylideneamino]quinoxalin-2-amine		33.2	CN(C1=NC2=CC=CC=C2N=C1)N=CC3=CN=CC=C3
MSSAIEVACVNALM-UHFFFAOYSA-N	1-(1,4-Dioxaspiro[4.11]hexadec-2-ylmethyl)pyrrolidine		145	C1CCCCCC2(CCCCC1)OCC(O2)CN3CCCC3
KCNPGHAGVLUKKB-UHFFFAOYSA-N	6,7-Dimethoxy-4-ethylcoumarin		85.4	CCC1=CC(=O)OC2=CC(=C(C=C12)OC)OC
